station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,6,11,11
2,21,13,13
3,5,12,12
4,7,13,13
5,6,13,13
6,20,11,11
7,22,12,12
8,5,12,12
9,21,12,12
10,8,16,16
11,17,10,10
12,6,11,11
13,18,11,11
14,6,13,13
15,23,13,13
16,19,11,11
17,22,13,13
18,6,10,10
19,6,11,11
20,19,12,12
21,35,21,21
22,21,13,13
23,6,11,11
24,5,10,10
25,27,16,16
26,5,10,10
27,8,14,14
28,23,13,13
29,5,13,13
30,26,15,15
31,19,11,11
32,7,13,13
33,6,10,10
34,7,13,13
35,6,13,13
36,6,10,10
37,5,10,10
38,19,11,11
39,7,11,11
40,18,11,11
41,17,10,10
42,25,15,15
43,24,15,15
44,23,14,14
45,7,16,16
46,24,14,14
47,7,15,15
48,22,12,12
49,19,10,10
50,7,14,14
