vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,17,3,7,0,0,7,625.106897459981,420.0,15
0,2,17,3,5,7,0,7,14,309.75007663437617,420.0,17
0,3,3,5,7,0,9,14,5,1782.1082015844797,540.0,28
0,4,5,7,14,6,0,5,11,491.22057153128316,360.0,14
0,5,7,14,9,5,0,11,16,1047.7162686053275,300.0,13
0,6,14,9,10,0,4,16,12,472.46004994177946,240.0,13
0,7,9,10,20,0,5,12,7,531.4062800285307,300.0,13
0,8,10,20,13,0,4,7,3,204.7206018281066,240.0,13
0,9,20,13,0,0,3,3,0,701.0859519531995,180.0,13
1,1,0,6,16,10,0,0,10,599.5318441543144,600.0,27
1,2,6,16,1,6,0,10,16,226.35063316991852,360.0,13
1,3,16,1,8,0,5,16,11,281.94320257972646,300.0,17
1,4,1,8,2,0,3,11,8,699.326848791616,180.0,11
1,5,8,2,11,0,8,8,0,404.3433312179838,480.0,28
1,6,2,11,15,6,0,0,6,371.1040534201987,360.0,15
1,7,11,15,18,6,0,6,12,526.7549978966458,360.0,16
1,8,15,18,19,0,10,12,2,235.79074048415092,600.0,31
1,9,18,19,4,5,0,2,7,436.5445514051448,300.0,12
1,10,19,4,12,7,0,7,14,1063.3190047679793,420.0,16
1,11,4,12,0,0,14,14,0,577.2284584441331,840.0,35
