row,variant,relaxation_callbacks,branch_callbacks,candidate_callbacks,progress_checkpoints,expensive_separation_calls,expensive_separation_skips,runtime_seconds,classification
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,7202,3539,0,10,,,95.09474563598633,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,7202,3539,0,10,,,95.10582709312439,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,22334,10982,0,12,,,345.12361669540405,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,22334,10982,0,12,,,345.116082906723,converging_bound_progress
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,2145,1023,0,10,,,95.1246690750122,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,2147,1024,0,10,,,95.11548519134521,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,2149,1025,0,12,,,345.10374450683594,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,2162,1030,0,12,,,345.12101578712463,plateau_weak_bound
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,28358,13736,0,21,2069,26289,600.7530242,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,20311,9674,0,17,568,19743,480.6004272,closed_by_solver_final
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_3600s,callback_tailored_bc_paced,28358,13736,0,22,2069,26289,630.6981081,plateau_weak_bound
high_imbalance_seed3201_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,0,0,0,2,0,0,10.3298472,closed_by_solver_final
tight_T_seed3102_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,0,0,0,2,0,0,10.4735673,closed_by_solver_final
moderate_seed3302_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,41,18,0,2,5,36,10.6028549,closed_by_solver_final
