row,variant,cuts_added_by_family,violations_by_family
test_certificate_basis,test,,
test_option_consistency,test,,
test_callback_smoke,test,,
test_branch_callback_smoke,test,callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0,
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,,
moderate_seed3301_low_gini_1_static_tailored_compact_bc_60s,static_tailored_compact_bc,,
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_300s,plain_fixed_interval_cplex_benchmark,,
moderate_seed3301_low_gini_1_static_tailored_compact_bc_300s,static_tailored_compact_bc,,
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,,
moderate_seed3301_low_gini_2_static_tailored_compact_bc_60s,static_tailored_compact_bc,,
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0
