row,status,classification,solver_finalization_reached,wrapper_synthesized_final_json,best_bound_available,compact_bc_bound_valid,best_bound_fail_reason,finalization_source,audit_passed
test_certificate_basis,diagnostic_passed,mixed_behavior,True,False,False,False,,solver_final_json,True
test_option_consistency,diagnostic_complete,mixed_behavior,True,False,False,False,,solver_final_json,True
test_callback_smoke,diagnostic_passed,mixed_behavior,True,False,False,False,,solver_final_json,True
test_branch_callback_smoke,diagnostic_passed,mixed_behavior,True,False,False,False,,solver_final_json,True
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_60s,wrapper_timeout_no_valid_bound,plain_benchmark_no_valid_checkpoint,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_1_static_tailored_compact_bc_60s,wrapper_timeout_no_valid_bound,mixed_behavior,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_60s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_300s,wrapper_timeout_no_valid_bound,plain_benchmark_no_valid_checkpoint,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_1_static_tailored_compact_bc_300s,wrapper_timeout_no_valid_bound,mixed_behavior,False,True,False,False,native_cplex_callback_did_not_return_before_parent_timeout,wrapper_error_json,True
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_300s,wrapper_timeout_valid_checkpoint_bound,converging_bound_progress,False,True,True,True,checkpoint_cplex_native_best_bound_after_external_worker_stop,wrapper_best_cplex_native_checkpoint,True
