row,variant,gini_branches_created,final_valid_bound,final_gap_to_cutoff,classification
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,2,0.0463089837667,0.05785190684597284,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,2,0.0463089837667,0.05785190684597284,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,2,0.048388162834,0.015551376058012196,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,2,0.048388162834,0.015551376058012196,converging_bound_progress
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,2,0.0489209015481,0.0047129010405672234,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,2,0.0489209015481,0.0047129010405672234,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,2,0.0489209015481,0.0047129010405672234,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,2,0.0489209015481,0.0047129010405672234,plateau_weak_bound
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,2,0.048388162834,0.015551376058012196,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,2,1e+75,0.0,closed_by_solver_final
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_3600s,callback_tailored_bc_paced,2,0.048388162834,0.015551376058012196,plateau_weak_bound
high_imbalance_seed3201_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,0,1e+75,0.0,closed_by_solver_final
tight_T_seed3102_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,0,1e+75,0.0,closed_by_solver_final
moderate_seed3302_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,2,1e+75,0.0,closed_by_solver_final
