row,variant,budget,initial_bound,final_valid_bound,best_gap_seen,time_of_first_valid_bound,time_of_last_bound_improvement,number_of_bound_improvements,classification
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,60,0.0,0.0,1.0,0.0,0.0,0,plain_benchmark_no_valid_checkpoint
moderate_seed3301_low_gini_1_static_tailored_compact_bc_60s,static_tailored_compact_bc,60,0.0,0.0,1.0,0.0,0.0,0,mixed_behavior
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,60,0.0432687174007,0.0463089837667,0.05785190684597284,10.012116,90.0706937,9,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,60,0.0432687174007,0.0463089837667,0.05785190684597284,10.0133588,90.0640692,9,converging_bound_progress
moderate_seed3301_low_gini_1_plain_fixed_interval_cplex_benchmark_300s,plain_fixed_interval_cplex_benchmark,300,0.0,0.0,1.0,0.0,0.0,0,plain_benchmark_no_valid_checkpoint
moderate_seed3301_low_gini_1_static_tailored_compact_bc_300s,static_tailored_compact_bc,300,0.0,0.0,1.0,0.0,0.0,0,mixed_behavior
moderate_seed3301_low_gini_1_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,300,0.0442615863425,0.048388162834,0.015551376058012196,30.0054811,330.0870433,11,converging_bound_progress
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,300,0.0442724469472,0.048388162834,0.015551376058012196,30.0118752,330.0871746,11,converging_bound_progress
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,60,0.0,0.0,1.0,0.0,0.0,0,plain_benchmark_no_valid_checkpoint
moderate_seed3301_low_gini_2_static_tailored_compact_bc_60s,static_tailored_compact_bc,60,0.0,0.0,1.0,0.0,0.0,0,mixed_behavior
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_60s,callback_tailored_bc_gini_auto,60,0.0482719976439,0.0489209015481,0.0047129010405672234,10.0019397,30.0263,3,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,60,0.0482719976439,0.0489209015481,0.0047129010405672234,10.0099647,30.03097,3,plateau_weak_bound
moderate_seed3301_low_gini_2_plain_fixed_interval_cplex_benchmark_300s,plain_fixed_interval_cplex_benchmark,300,0.0,0.0,1.0,0.0,0.0,0,plain_benchmark_no_valid_checkpoint
moderate_seed3301_low_gini_2_static_tailored_compact_bc_300s,static_tailored_compact_bc,300,0.0,0.0,1.0,0.0,0.0,0,mixed_behavior
moderate_seed3301_low_gini_2_callback_tailored_bc_gini_auto_300s,callback_tailored_bc_gini_auto,300,0.0489209015481,0.0489209015481,0.0047129010405672234,30.0034262,30.0034262,1,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_300s,callback_tailored_bc_paced,300,0.0489209015481,0.0489209015481,0.0047129010405672234,30.0140472,30.0140472,1,plateau_weak_bound
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,1200,0.0442404034848,0.048388162834,0.015551376058012196,30.0087081,330.0939571,11,plateau_weak_bound
moderate_seed3301_low_gini_2_callback_tailored_bc_paced_1200s,callback_tailored_bc_paced,1200,0.0489209015481,1e+75,0.0,30.0025957,480.1005789,3,closed_by_solver_final
moderate_seed3301_low_gini_1_callback_tailored_bc_paced_3600s,callback_tailored_bc_paced,3600,0.0442724469472,0.048388162834,0.015551376058012196,30.0042091,330.0658914,11,plateau_weak_bound
high_imbalance_seed3201_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,60,0.0,0.0,1.0,0.0,0.0,0,closed_by_solver_final
high_imbalance_seed3201_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,60,1e+75,1e+75,0.0,10.0154946,10.0154946,1,closed_by_solver_final
tight_T_seed3102_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,60,0.0,0.0,1.0,0.0,0.0,0,closed_by_solver_final
tight_T_seed3102_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,60,1e+75,1e+75,0.0,10.0139945,10.0139945,1,closed_by_solver_final
moderate_seed3302_hard_plain_fixed_interval_cplex_benchmark_60s,plain_fixed_interval_cplex_benchmark,60,0.0,0.0,1.0,0.0,0.0,0,closed_by_solver_final
moderate_seed3302_hard_callback_tailored_bc_paced_60s,callback_tailored_bc_paced,60,1e+75,1e+75,0.0,10.0152512,10.0152512,1,closed_by_solver_final
