vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,25,21,5,0,0,5,462.80430154765463,300.0,22
0,2,25,21,29,14,0,5,19,35.61680063612364,840.0,21
0,3,21,29,12,0,8,19,11,275.64753123859475,480.0,13
0,4,29,12,5,0,4,11,7,196.42340684234034,240.0,10
0,5,12,5,0,0,7,7,0,161.04316998874214,420.0,13
1,1,0,7,9,7,0,0,7,265.3413713234324,420.0,15
1,2,7,9,3,7,0,7,14,84.47303571079202,420.0,14
1,3,9,3,8,0,7,14,7,248.36460557624557,420.0,12
1,4,3,8,2,0,7,7,0,221.4975542356735,420.0,12
1,5,8,2,1,5,0,0,5,169.33423154092824,300.0,16
1,6,2,1,0,0,5,5,0,188.03235296666716,300.0,11
2,1,0,16,30,1,0,0,1,515.4493032739784,60.0,18
2,2,16,30,14,11,0,1,12,156.7966376014731,660.0,15
2,3,30,14,6,0,7,12,5,783.6469908047021,420.0,13
2,4,14,6,4,1,0,5,6,203.24852393594378,60.0,19
2,5,6,4,0,0,6,6,0,206.4874606190547,360.0,13
3,1,0,46,42,6,0,0,6,674.6475137939472,360.0,18
3,2,46,42,45,10,0,6,16,153.53942828430314,600.0,15
3,3,42,45,10,0,9,16,7,156.26054194007702,540.0,16
3,4,45,10,0,0,7,7,0,402.3331894200648,420.0,15
