id,stage,control,candidate,identical_startup_routes_U,identical_initial_coverage,identical_initial_canonical_model,same_formulation_required
C6,production_refine_v4,bounded,seed-bounded,True,True,True,True
C6,production_refine_v4,seed-bounded,seed-proof-free,True,True,True,True
C6,production_refine_v5,seed-bounded,seed-proof-free,True,True,True,True
D4,production_refine_v5,seed-bounded,seed-proof,True,True,True,True
D4,production_refine_v5,seed-bounded,seed-proof-free,True,True,True,True
D4,production_refine_v5,seed-proof,seed-proof-free,True,True,True,True
D4,production_refine_v5,seed-proof-free,seed-sparse-free,True,True,True,True
D7,production_refine_v5,cold-seed-bounded,cold-seed-proof-free,True,True,True,True
C5,cold_protection_v5,cold-seed-bounded,cold-seed-proof-free,True,True,True,True
C5,cold_protection_v5,cold-off,cold-seed-bounded,True,True,True,True
C6,causal_v5,joint,seed-bounded-joint,True,True,True,True
C6,long_v5,K1-H,candidate,True,True,True,True
D7,long_v5,K1-H,candidate,True,True,True,True
D3,protection_v5,K1-H,candidate,True,True,True,True
D4,protection_v5,K1-H,candidate,True,True,True,True
D4,protection_v5,joint,candidate,True,True,False,False
C2,long_v5,K1-H,candidate,True,True,True,True
C8,confirmation_v5,K1-H,candidate,True,True,True,True
