number,id,complete_frontier_minimum,reported_LB,parent_child_coverage
1,micro,0.20833333333333331,0.20833333333333331,True
2,C5,0.0,0,True
3,C5,0.0,0,True
4,C7,0.0,0,True
5,C7,0.0,0,True
6,C2,0.7976736528972883,0.7976736528972883,True
7,C2,0.7976769434356816,0.7976769434356816,True
8,micro,0.20833333333333331,0.20833333333333331,True
9,micro,0.20833333333333334,0.20833333333333334,True
10,D4,0.5063433073265636,0.5063433073265636,True
11,D4,0.5063433073265636,0.5063433073265636,True
12,D4,0.4796618036987107,0.4796618036987107,True
13,C6,1.4948548639548045,1.4948548639548045,True
14,C6,1.4948548639548045,1.4948548639548045,True
15,C6,1.4948548639548045,1.4948548639548045,True
16,D7,0.195016069495007,0.195016069495007,True
17,D7,0.195016069495007,0.195016069495007,True
18,D7,0.195016069495007,0.195016069495007,True
19,C6,1.4948548639548045,1.4948548639548045,True
20,C6,1.494756911599021,1.494756911599021,True
21,C6,1.494756911599021,1.494756911599021,True
22,C6,1.494756911599021,1.494756911599021,True
23,C6,1.494756911599021,1.494756911599021,True
24,D4,0.5063433073265636,0.5063433073265636,True
25,D4,0.5063433073265636,0.5063433073265636,True
26,D4,0.5063433073265636,0.5063433073265636,True
27,D4,0.506343307565206,0.506343307565206,True
28,D7,0.195016069495007,0.195016069495007,True
29,D7,0.195016069495007,0.195016069495007,True
30,C5,0.0,0,True
31,C5,0.0,0,True
32,C5,0.0,0,True
33,C6,1.4340819109709753,1.4340819109709753,True
34,C6,1.5800952916492783,1.5800952916492783,True
35,C6,1.4967313809149916,1.4967313809149916,True
36,C6,1.498479846432248,1.498479846432248,True
38,D7,0.19606902422976308,0.19606902422976308,True
39,D7,0.19772972251984766,0.19772972251984766,True
41,D3,0.04389467686147614,0.04389467686147614,True
42,D3,0.04389384878278519,0.04389384878278519,True
44,D4,0.5063433073265636,0.5063433073265636,True
45,D4,0.5063433073265636,0.5063433073265636,True
47,D4,0.5063433031970151,0.5063433031970151,True
48,C2,0.8299634029496857,0.8299634029496857,True
49,C2,0.8299634029496857,0.8299634029496857,True
51,C5,0.0,0,True
52,C5,0.0,0,True
53,C8,0.6293191518514455,0.6293191518514455,True
54,C8,0.6293191518514455,0.6293191518514455,True
56,C9,0.0,0,True
57,C9,0.0,0,True
