id,stage,control,candidate,control_rows,candidate_rows,common_prefix,identical_common_logical_prefix
C5,reliability_v1,off,reliable,2011,11,11,True
C7,reliability_v1,off,reliable,2058,58,58,True
C2,reliability_v1,off,reliable,2794,2794,2794,True
D4,production_screen_v3,bounded,proof,2012,2012,2012,True
D4,production_screen_v3,bounded,sparse,2012,2012,2012,True
D4,production_screen_v3,proof,sparse,2012,2012,2012,True
C6,production_screen_v3,bounded,proof,2124,2124,2124,True
C6,production_screen_v3,bounded,sparse,2124,2124,2124,True
C6,production_screen_v3,proof,sparse,2124,2124,2124,True
C6,production_refine_v4,bounded,seed-bounded,2124,2124,2124,True
C6,production_refine_v4,seed-bounded,seed-proof-free,2124,2124,2124,True
C6,production_refine_v5,seed-bounded,seed-proof-free,2124,2124,2124,True
D4,production_refine_v5,seed-bounded,seed-proof,2012,2012,2012,True
D4,production_refine_v5,seed-bounded,seed-proof-free,2012,2012,2012,True
D4,production_refine_v5,seed-proof,seed-proof-free,2012,2012,2012,True
D4,production_refine_v5,seed-proof-free,seed-sparse-free,2012,2012,2012,True
C6,causal_v5,joint,seed-bounded-joint,2124,2124,2124,True
C6,long_v5,K1-H,candidate,2124,2124,2124,True
D7,long_v5,K1-H,candidate,2740,2740,2740,True
D3,protection_v5,K1-H,candidate,2130,2130,2130,True
D4,protection_v5,K1-H,candidate,2012,2012,2012,True
D4,protection_v5,joint,candidate,2012,2012,2012,True
C2,long_v5,K1-H,candidate,2794,2794,2794,True
C5,protection_v5,K1-H,candidate,2011,11,11,True
C8,confirmation_v5,K1-H,candidate,2059,2059,2059,True
C9,confirmation_v5,K1-H,candidate,2012,12,12,True
