number,id,arm,stage,cap,build,executable_sha256,wall,status,certificate,UB,LB,native_calls,mip_calls,aux_calls,proof_calls,optional_work,core_work,optional_seconds,core_seconds,splits,failure,initial_UB,hga_seconds,first_LP_request,proof_failure,startup_witness_present,witness_audit_failure,controller,release_load,gap,optimizer_calls,optional_account_present,main_native_work,main_native_seconds,total_accounted_optimizer_work
1,micro,cold-bounded,stress_zero_credit_v1,20,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,0.3130000000819564,optimal,True,0.20833333333333331,0.20833333333333331,1,1,0,0,0.0,0.0005458807252906973,0.0078762,0.0235503,0,False,0.37222222222222223,0.0002378,0.0888606,False,False,False,credit10,false,0.0,1,True,0.0005458807252906973,0.016000032424926758,0.0005458807252906973
2,C5,off,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,252.11000000033528,optimal,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0,252.0615418,,False,False,False,credit10,false,0,0,False,0,0,0
3,C5,reliable,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,3.594000000040978,optimal,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0,3.5416223999999996,,False,False,False,credit10,false,0,0,False,0,0,0
4,C7,off,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,37.811999999918044,optimal,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0,37.767324699999996,,False,False,False,credit10,false,0,0,False,0,0,0
5,C7,reliable,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,2.1869999999180436,optimal,True,0,0,0,0,0,0,0,0,0,0,0,False,0.0,2.1361019999999997,,False,False,False,credit10,false,0,0,False,0,0,0
6,C2,off,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,297.06199999991804,round31_c6_external_gini_tree_time_limit,False,0.8299634131717752,0.7976736528972883,7,2,0,0,0,0,0,0,1,False,0.8299634131717752,2.7546821,2.8621064,False,False,False,credit10,false,0.032289760274486934,7,False,587.4980802396703,293.61100029945374,587.4980802396703
7,C2,reliable,reliability_v1,300,build_freeze_v1.json,45d885dfc451075c1d2526027c0e742418e46457c2ca4c8592309c24637f0e7c,297.06300000008196,round31_c6_external_gini_tree_time_limit,False,0.8299634131717752,0.7976769434356816,7,2,0,0,0,0,0,0,1,False,0.8299634131717752,2.7478096,2.8560387,False,False,False,credit10,false,0.032286469736093615,7,False,587.628151359299,293.6250002384186,587.628151359299
8,micro,cold-bounded,stress_low_credit_v2,20,build_freeze_v2.json,ac5c9e6083b7f985a964d84008b68ad31fd58df353e0977aaa5a274d75160f6b,0.1869999999180436,optimal,True,0.20833333333333331,0.20833333333333331,1,1,0,0,0.0,0.0005458807252906973,0.0060443,0.0080321,0,False,0.37222222222222223,0.00018640000000000003,0.0181697,False,False,False,credit10,false,0.0,1,True,0.0005458807252906973,0.0009999275207519531,0.0005458807252906973
9,micro,cold-proof,stress_projection_v2,20,build_freeze_v2.json,ac5c9e6083b7f985a964d84008b68ad31fd58df353e0977aaa5a274d75160f6b,0.10999999986961484,optimal,True,0.20833333333333331,0.20833333333333334,5,2,3,0,0.0012335311011403964,0.0007230127252906978,0.044473,0.012458799999999999,0,False,0.37222222222222223,0.0003745,0.0214516,False,False,False,credit10,false,-2.7755575615628914e-17,8,True,0.0019231695464310943,0.005000114440917969,0.0019565438264310944
10,D4,bounded,production_screen_v3,180,build_freeze_v3.json,903a3972635528bc5c6681348484cbe3c84c64ec74eb78ad81caf72dfd023d42,132.06300000008196,optimal,True,0.506343307565206,0.5063433073265636,4,1,0,0,0.3758130916865769,208.5761094570666,0.31100400000000006,129.5101411,0,False,0.506422789224163,2.0445956,2.0992569,False,False,False,credit10,false,2.3864232812087494e-10,4,True,208.95192254875317,129.6470000743866,208.95192254875317
