number,id,arm,path,F,G,P,stations,pickup,drop,maximum_duration,original_T_feasible
20,C6,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v4\C6\seed-bounded\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
21,C6,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v4\C6\seed-proof-free\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
21,C6,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v4\C6\seed-proof-free\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
22,C6,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\C6\seed-bounded\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
22,C6,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\C6\seed-bounded\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
23,C6,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\C6\seed-proof-free\result.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
23,C6,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\C6\seed-proof-free\external\initial_witness.json,1.6935230573348532,0.3476053674921956,8.97278459895105,9,28,28,1767.1351174152915,True
24,D4,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-bounded\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
24,D4,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-bounded\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
24,D4,seed-bounded,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-bounded\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
25,D4,seed-proof,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
25,D4,seed-proof,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
25,D4,seed-proof,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
26,D4,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof-free\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
26,D4,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof-free\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
26,D4,seed-proof-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-proof-free\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
27,D4,seed-sparse-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-sparse-free\result.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
27,D4,seed-sparse-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-sparse-free\external\initial_witness.json,0.506422789224163,0.1810788634566511,2.168959505116746,8,29,29,2366.030638810974,True
27,D4,seed-sparse-free,results\gf_budgeted_proof_round65\local_raw\production_refine_v5\D4\seed-sparse-free\external\native_0_witness.json,0.506343307565206,0.17721566970978195,2.194184252369493,10,29,29,2389.694072063803,True
