number,id,arm,leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,in_memory_model_reused,integer_domain_restored,basis_reuse_status,native_log
1,micro,cold-bounded,L0,MIP,OPTIMAL,0,16.911084200000001,0.016000032424926758,0.00054588072529069729,0,0,0,0.0018964369999999999,b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,0,0,not_requested,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\stress_zero_credit_v1\micro\cold-bounded\external\native_logs\L0_terminal_mip.gurobi.log
6,C2,off,L0,LP,OPTIMAL,0,294.13794510000002,0.1100001335144043,0.28866487798806356,0,2294,0,0.020353469999999999,48f00424ac4080a0b940b5a8c9351072ce8bb94243b95cfeec26fc580474e014,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0_lp.gurobi.log
6,C2,off,L0.0,LP,OPTIMAL,0,293.9055831,0.11999988555908203,0.32894918216854385,0,2335,0,0.021714807999999999,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.0_lp.gurobi.log
6,C2,off,L0.1,LP,INFEASIBLE,0,293.66401639999998,0.070000171661376953,0.17849820609308431,0,1547,0,0.022133593,08ef6abb1c0c5868e0ab1740f99b0a9be2cdd1cc011fb1f21a8c2e0b78596fcc,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.1_lp.gurobi.log
6,C2,off,L0.0.0,LP,OPTIMAL,0,293.47219239999998,0.14900016784667969,0.40601020663551096,0,2761,0,0.022133593,59282f716df3cf826b40f7c0486fa7d3433777a490cd3c3b6a6b054d78e0fd69,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.0.0_lp.gurobi.log
6,C2,off,L0.0.1,LP,OPTIMAL,0,293.1980605,0.10599994659423828,0.2827497643399095,0,2295,0,0.023099918000000001,bfebdb0b67b95a67886ef04ce44ec71aced3d24a4f6dcdd14695162f0332d223,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.0.1_lp.gurobi.log
6,C2,off,L0.0,CHILD_BOUND_TARGET_MIP,INTERRUPTED,0,293.0640148,0.28200006484985352,0.53634831501589353,1,1966,0,0.033213046000000003,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,1,0,not_requested,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.0_c6_1_child_disjunction_target_mip.gurobi.log
6,C2,off,L0.0,MIP,TIME_LIMIT,0,292.77227749999997,292.7739999294281,585.47685968742928,17009,1722575,0,0.193439002,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,1,0,not_requested,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\off\external\native_logs\L0.0_terminal_mip.gurobi.log
7,C2,reliable,L0,LP,OPTIMAL,0,294.14402089999999,0.10800004005432129,0.28866487798806356,0,2294,0,0.02035348,48f00424ac4080a0b940b5a8c9351072ce8bb94243b95cfeec26fc580474e014,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\reliable\external\native_logs\L0_lp.gurobi.log
7,C2,reliable,L0.0,LP,OPTIMAL,0,293.9152067,0.11999988555908203,0.32894918216854385,0,2335,0,0.021714818,c1b6d06947c08c77ade119ba1b2024bee732794166fe0b3e3a8990b15aaee06d,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\reliable\external\native_logs\L0.0_lp.gurobi.log
7,C2,reliable,L0.1,LP,INFEASIBLE,0,293.67513179999997,0.070000171661376953,0.17849820609308431,0,1547,0,0.022133603000000002,08ef6abb1c0c5868e0ab1740f99b0a9be2cdd1cc011fb1f21a8c2e0b78596fcc,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\reliable\external\native_logs\L0.1_lp.gurobi.log
7,C2,reliable,L0.0.0,LP,OPTIMAL,0,293.48460440000002,0.14900016784667969,0.40601020663551096,0,2761,0,0.022133603000000002,59282f716df3cf826b40f7c0486fa7d3433777a490cd3c3b6a6b054d78e0fd69,0,1,not_submitted_domain_transition_model_object_only,E:\codes\ExactEBRP-round65\results\gf_budgeted_proof_round65\local_raw\reliability_v1\C2\reliable\external\native_logs\L0.0.0_lp.gurobi.log
