number,id,arm,leaf,mode,columns,rows,attached
9,micro,cold-proof,L0,proof,79,214,0
9,micro,cold-proof,L0.0,proof,79,214,0
9,micro,cold-proof,L0.1,proof,79,214,0
11,D4,proof,L0,proof,1404,4136,0
11,D4,proof,L0.0,proof,1404,4136,0
11,D4,proof,L0.1,proof,1404,4136,0
12,D4,sparse,L0,sparse,1404,4139,3
12,D4,sparse,L0.0,sparse,1404,4141,5
12,D4,sparse,L0.1,sparse,1404,4142,6
23,C6,seed-proof-free,L0,proof,23533,103480,0
25,D4,seed-proof,L0,proof,1404,4136,0
25,D4,seed-proof,L0.0,proof,1404,4136,0
25,D4,seed-proof,L0.1,proof,1404,4136,0
26,D4,seed-proof-free,L0,proof,1404,4136,0
26,D4,seed-proof-free,L0.0,proof,1404,4136,0
26,D4,seed-proof-free,L0.1,proof,1404,4136,0
27,D4,seed-sparse-free,L0,sparse,1404,4144,8
27,D4,seed-sparse-free,L0.0,sparse,1404,4144,8
27,D4,seed-sparse-free,L0.1,sparse,1404,4144,8
29,D7,cold-seed-proof-free,L0,proof,23563,103581,0
29,D7,cold-seed-proof-free,L0.0,proof,23563,103581,0
32,C5,cold-seed-proof-free,L0,proof,23533,103476,0
32,C5,cold-seed-proof-free,L0.0,proof,23533,103476,0
32,C5,cold-seed-proof-free,L0.1,proof,23533,103476,0
