number,id,arm,call,state,kind,status,grant_work,grant_seconds,work,seconds,optional_work,core_work,optional_seconds,core_seconds
1,micro,cold-bounded,0,L0,optional,canonical_build,0,0,0,0.0078761999999999999,0,0,0.0078761999999999999,0
1,micro,cold-bounded,1,L0,optional,OPTIONAL_BUDGET_EXHAUSTED,0,0,0,0,0,0,0.0078761999999999999,0
1,micro,cold-bounded,2,L0|b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,core,OPTIMAL,0,0,0.00054588072529069729,0.0235503,0,0.00054588072529069729,0.0078761999999999999,0.0235503
8,micro,cold-bounded,0,L0,optional,canonical_build,0,0,0,0.0060442999999999998,0,0,0.0060442999999999998,0
8,micro,cold-bounded,1,L0,optional,OPTIONAL_BUDGET_EXHAUSTED,0.0001,0,0,0,0,0,0.0060442999999999998,0
8,micro,cold-bounded,2,L0|b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,core,OPTIMAL,0,0,0.00054588072529069729,0.0080321000000000004,0,0.00054588072529069729,0.0060442999999999998,0.0080321000000000004
9,micro,cold-proof,0,L0,optional,canonical_build,0,0,0,0.0062572000000000001,0,0,0.0062572000000000001,0
9,micro,cold-proof,1,L0,optional,base_LP_OPTIMAL,10,8.4892518500000005,0.00040544452377261114,0.0088047000000000004,0.00040544452377261114,0,0.0150619,0
9,micro,cold-proof,2,vehicle_0,optional,auxiliary_feasible,10,8.4841227999999997,2.3528479999999985e-05,0.0010985000000000001,0.0004289730037726111,0,0.016160399999999998,0
9,micro,cold-proof,3,L0,optional,projection_finalization,0,0,0,0.0016146000000000012,0.0004289730037726111,0,0.017774999999999999,0
9,micro,cold-proof,4,L0.0,optional,canonical_build,0,0,0,0.0057177,0.0004289730037726111,0,0.023492699999999998,0
9,micro,cold-proof,5,L0.0,optional,base_LP_OPTIMAL,10,8.4804938500000002,0.00040932067243755352,0.0064406999999999997,0.00083829367621016462,0,0.029933399999999999,0
9,micro,cold-proof,6,vehicle_0,optional,auxiliary_feasible,10,8.4771937499999996,4.9229000000000008e-06,0.0006445,0.00084321657621016458,0,0.030577899999999998,0
9,micro,cold-proof,7,L0.0,optional,projection_finalization,0,0,0,0.00027690000000000071,0.00084321657621016458,0,0.030854799999999998,0
9,micro,cold-proof,8,L0.1,optional,canonical_build,0,0,0,0.0062004,0.00084321657621016458,0,0.037055199999999996,0
9,micro,cold-proof,9,L0.1,optional,base_LP_OPTIMAL,10,8.4736117499999999,0.00038539162493023181,0.0065148000000000003,0.0012286082011403964,0,0.043569999999999998,0
9,micro,cold-proof,10,vehicle_0,optional,auxiliary_feasible,10,8.4702789500000009,4.9229000000000008e-06,0.00062969999999999996,0.0012335311011403964,0,0.044199699999999995,0
9,micro,cold-proof,11,L0.1,optional,projection_finalization,0,0,0,0.00027330000000000312,0.0012335311011403964,0,0.044472999999999999,0
9,micro,cold-proof,12,L0|b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,core,INTERRUPTED,0,0,0.0005441229127906977,0.0067941,0.0012335311011403964,0.0005441229127906977,0.044472999999999999,0.0067941
9,micro,cold-proof,13,L0|b2d461875388c98d3f77dce36f05880354071247b4536aec41dfd914eb5c6808,core,OPTIMAL,0,0,0.00017888981250000009,0.0056646999999999999,0.0012335311011403964,0.00072301272529069782,0.044472999999999999,0.012458799999999999
10,D4,bounded,0,L0,optional,canonical_build,0,0,0,0.041164800000000001,0,0,0.041164800000000001,0
10,D4,bounded,1,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,optional,OPTIMAL,10,15,0.077867609219024553,0.0476129,0.077867609219024553,0,0.088777700000000001,0
10,D4,bounded,2,L0.0,optional,canonical_build,0,0,0,0.036913899999999999,0.077867609219024553,0,0.12569160000000001,0
10,D4,bounded,3,L0.0|e3fb9fd505da02ef07042cf18065690398950281cb9f48ea968e6cfc21b89fe5,optional,OPTIMAL,10,15,0.14039999302008316,0.069397799999999996,0.21826760223910771,0,0.19508940000000002,0
10,D4,bounded,4,L0.1,optional,canonical_build,0,0,0,0.038131400000000003,0.21826760223910771,0,0.23322080000000003,0
10,D4,bounded,5,L0.1|356fa1ab2b09ef76b990e9e1f2b92d17ded2fcb3c10ff70f387c99fb1b60836d,optional,OPTIMAL,10,15,0.15754548944746918,0.077783199999999997,0.37581309168657689,0,0.31100400000000006,0
10,D4,bounded,6,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,core,OPTIMAL,0,0,208.57610945706659,129.5101411,0.37581309168657689,208.57610945706659,0.31100400000000006,129.5101411
11,D4,proof,0,L0,optional,canonical_build,0,0,0,0.059792400000000002,0,0,0.059792400000000002,0
11,D4,proof,1,L0,optional,base_LP_OPTIMAL,10,15,0.077867609219024553,0.047766599999999999,0.077867609219024553,0,0.107559,0
11,D4,proof,2,vehicle_0,optional,verified_projection_row,10,15,0.00031504693243242932,0.0024543,0.078182656151456989,0,0.11001330000000001,0
11,D4,proof,3,vehicle_1,optional,verified_projection_row,10,15,0.00017497991756756446,0.0017798,0.078357636069024558,0,0.11179310000000001,0
11,D4,proof,4,vehicle_2,optional,verified_projection_row,10,15,0.00017493011756756444,0.0014639,0.078532566186592129,0,0.11325700000000001,0
11,D4,proof,5,L0,optional,projection_overhead,0,0,0,0.0037540999999999911,0.078532566186592129,0,0.11701110000000001,0
11,D4,proof,6,L0,optional,projection_reopt,10,15,0.089595640034255228,0.037709600000000003,0.16812820622084734,0,0.15472070000000002,0
11,D4,proof,7,L0,optional,projection_finalization,0,0,0,0.00092729999999999896,0.16812820622084734,0,0.15564800000000001,0
11,D4,proof,8,L0.0,optional,canonical_build,0,0,0,0.0612452,0.16812820622084734,0,0.21689320000000001,0
11,D4,proof,9,L0.0,optional,base_LP_OPTIMAL,10,15,0.14039999302008316,0.068427399999999999,0.3085281992409305,0,0.28532060000000004,0
11,D4,proof,10,vehicle_0,optional,verified_projection_row,10,15,0.00011158376081081083,0.0017616999999999999,0.30863978300174133,0,0.28708230000000001,0
11,D4,proof,11,vehicle_1,optional,verified_projection_row,10,15,0.00012954149054054048,0.0022905999999999998,0.30876932449228189,0,0.28937289999999999,0
11,D4,proof,12,vehicle_2,optional,verified_projection_row,10,15,6.6680514864864859e-05,0.0034139999999999999,0.30883600500714675,0,0.29278689999999996,0
11,D4,proof,13,L0.0,optional,projection_overhead,0,0,0,0.00094880000000007424,0.30883600500714675,0,0.29373570000000004,0
11,D4,proof,14,L0.0,optional,projection_reopt,10,15,0.14762530154868425,0.0571418,0.456461306555831,0,0.35087750000000006,0
11,D4,proof,15,L0.0,optional,projection_finalization,0,0,0,0.00098550000000000026,0.456461306555831,0,0.35186300000000004,0
11,D4,proof,16,L0.1,optional,canonical_build,0,0,0,0.062149900000000001,0.456461306555831,0,0.41401290000000002,0
11,D4,proof,17,L0.1,optional,base_LP_OPTIMAL,10,15,0.15754548944746918,0.079777100000000004,0.61400679600330021,0,0.49379000000000001,0
11,D4,proof,18,vehicle_0,optional,verified_projection_row,10,15,6.6809404054054053e-05,0.0012966,0.61407360540735423,0,0.49508659999999999,0
11,D4,proof,19,vehicle_1,optional,verified_projection_row,10,15,6.6901270270270264e-05,0.0012514,0.61414050667762454,0,0.496338,0
11,D4,proof,20,vehicle_2,optional,verified_projection_row,10,15,6.6692214864864864e-05,0.0037161999999999998,0.61420719889248943,0,0.5000542,0
11,D4,proof,21,L0.1,optional,projection_overhead,0,0,0,0.0010738000000000024,0.61420719889248943,0,0.50112800000000002,0
11,D4,proof,22,L0.1,optional,projection_reopt,10,15,0.15263547117696127,0.061370300000000003,0.76684267006945073,0,0.56249830000000001,0
11,D4,proof,23,L0.1,optional,projection_finalization,0,0,0,0.0012415999999999955,0.76684267006945073,0,0.56373989999999996,0
11,D4,proof,24,L0|0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,core,OPTIMAL,0,0,208.57610945706659,129.37840589999999,0.76684267006945073,208.57610945706659,0.56373989999999996,129.37840589999999
12,D4,sparse,0,L0,optional,canonical_build,0,0,0,0.036102700000000001,0,0,0.036102700000000001,0
12,D4,sparse,1,L0,optional,base_LP_OPTIMAL,10,15,0.077867609219024553,0.047688899999999999,0.077867609219024553,0,0.083791599999999994,0
12,D4,sparse,2,vehicle_0,optional,verified_projection_row,10,15,0.00031504693243242932,0.0017194000000000001,0.078182656151456989,0,0.08551099999999999,0
