vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,16,7,8,0,0,8,579.3904526166258,480.0,12
0,2,16,7,3,10,0,8,18,893.3856215925535,600.0,16
0,3,7,3,13,0,5,18,13,527.7644180356303,300.0,10
0,4,3,13,12,0,5,13,8,958.5732345518126,300.0,10
0,5,13,12,14,7,0,8,15,949.7222592989352,420.0,9
0,6,12,14,5,0,2,15,13,646.8808747988206,120.0,5
0,7,14,5,0,9,0,13,22,884.365482747894,540.0,13
1,1,0,17,11,7,0,0,7,605.9336149548297,420.0,9
1,2,17,11,6,0,5,7,2,670.6404049770866,300.0,11
1,3,11,6,18,7,0,2,9,765.5249001301607,420.0,10
1,4,6,18,20,0,4,9,5,218.5329535932989,240.0,8
1,5,18,20,10,7,0,5,12,705.2107956884147,420.0,9
1,6,20,10,1,7,0,12,19,216.21380555150196,420.0,10
1,7,10,1,2,0,6,19,13,1132.4047179973088,360.0,12
1,8,1,2,9,0,9,13,4,1202.7752657259884,540.0,15
1,9,2,9,8,9,0,4,13,923.1369737252263,540.0,12
1,10,9,8,15,0,5,13,8,615.25355911386,300.0,11
1,11,8,15,19,7,0,8,15,711.094174042567,420.0,11
1,12,15,19,4,0,7,15,8,490.2352811900665,420.0,15
1,13,19,4,0,0,4,8,4,696.7025863563231,240.0,8
