audit,passed,reason
summary_rows_present,True,rows=60
g_gap_reconstruction,True,snapshot=dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_1200s:first_relaxation_callback expected=-0.0009283349809778713 reported=-0.0009283349809778713
structural_values_available,True,structural_summary_rows=1
unknown_fraction_at_most_five_percent,True,bad_snapshots=0
