file,enabled,rows_added,lower_row_mode,proof_status,audit_passed,failures
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_10s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_callback_only_if_violated_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_replace_aggregate_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_sp_disaggregated_with_tight_e_bounds_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_10s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_14400s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_static_tailored_compact_bc_3600s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_callback_limited_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_only_high_violation_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_1200s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_support_cover_root_limited_300s.json,False,0,off,not_enabled,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_2_gs_static_upper_only_300s.json,True,5,off,paper_safe_upper_row,True,
results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_tight_T_seed3102_hard_gs_static_upper_only_300s.json,True,5,off,paper_safe_upper_row,True,
