snapshot_id,snapshot_scope,json_path,elapsed_seconds,callback_count,node_count,best_bound_at_snapshot,objective_value_if_available
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_1200s.json,1200.8886709,43157,38866,0.0487233640003,0
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_300s.json,300.5915422,22524,18473,0.048388162834,0
dominant_k4_low_gini_1_combined_route_cuts_limited_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_combined_route_cuts_limited_1200s.json,1200.9531609,38440,33509,0.048388162834,0
dominant_k4_low_gini_1_combined_route_cuts_limited_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_combined_route_cuts_limited_300s.json,330.6577269,18731,14885,0.048388162834,0
dominant_k4_low_gini_1_gs_callback_upper_only_10s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_callback_upper_only_10s.json,30.3156238,1159,738,0.0448132511368,0
dominant_k4_low_gini_1_gs_callback_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_callback_upper_only_1200s.json,1200.6650493,107072,102011,0.0487383087046,0
dominant_k4_low_gini_1_gs_callback_upper_only_14400s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_callback_upper_only_14400s.json,10563.1350249,840796,830346,0.0491015319884,0.0491015319884
dominant_k4_low_gini_1_gs_callback_upper_only_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_callback_upper_only_300s.json,330.7454477,26428,22374,0.048388162834,0
dominant_k4_low_gini_1_gs_callback_upper_only_3600s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_callback_upper_only_3600s.json,3601.3862899,284233,277162,0.0488223385636,0
dominant_k4_low_gini_1_gs_off_1200s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_off_1200s.json,1200.8516043,39132,34215,0.048388162834,0
dominant_k4_low_gini_1_gs_off_300s:first_relaxation_callback,first_relaxation_callback,results\gf_tailored_bc_structural_policy_round\raw\dominant_k4_low_gini_1_gs_off_300s.json,330.4889918,18527,14679,0.048388162834,0
