snapshot_id,snapshot_source,top_fractional_z,top_fractional_x,top_fractional_p,top_fractional_d,top_route_support_station_sets_by_vehicle
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_1200s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_300s:first_relaxation_callback,first_relaxation_callback,z_2_7:0.484716|z_1_4:0.546536|z_1_3:0.546536|z_1_2:0.546536|z_1_10:0.546536|z_0_4:0.453464|z_0_3:0.453464|z_0_10:0.453464,x_2_7_8:0.484716|x_2_1_7:0.484716|x_0_19_16:0.546536|x_0_19_4:0.453464|x_0_0_16:0.453464|x_1_4_13:0.546536|x_1_3_10:0.546536|x_1_2_3:0.546536,p_0_16:11.5162|p_2_7:1.52707|p_0_10:0.453464|p_2_15:4.60048|p_1_10:10.3059|p_0_2:0.299854|p_2_12:1.27437|p_0_20:2.27437,d_2_8:10.4847|d_1_4:0.546536|d_0_4:0.453464|d_0_3:0.453464|d_0_8:0.409388|d_1_13:9.38869|d_2_5:3.38129|d_0_17:5.66306,"k0:z_0_9=1,z_0_19=1,z_0_16=1,z_0_18=0.54654,z_0_4=0.45346,z_0_3=0.45346|k1:z_1_13=0.58478,z_1_4=0.54654,z_1_3=0.54654,z_1_2=0.54654,z_1_10=0.54654,z_1_1=0.36167|k2:z_2_15=0.63833,z_2_1=0.63833,z_2_8=0.59061,z_2_7=0.48472,z_2_14=0.35897,z_2_5=0.15361"
dominant_k4_low_gini_1_combined_route_cuts_limited_1200s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_combined_route_cuts_limited_300s:first_relaxation_callback,first_relaxation_callback,z_0_1:0.394951|z_1_18:0.38833|z_1_17:0.38833|z_1_16:0.38833|z_2_15:0.381695|z_2_18:0.366667|z_0_14:0.634949|z_2_16:0.351608,x_0_2_14:0.431689|x_0_1_19:0.394951|x_0_19_1:0.394951|x_1_4_0:0.61167|x_1_12_4:0.61167|x_1_4_18:0.38833|x_1_18_17:0.38833|x_1_17_16:0.38833,p_1_7:2.46281|p_0_16:4.54354|p_2_15:4.55684|p_1_16:6.57975|p_2_16:0.351608|p_2_20:1.30576|p_2_10:9.69659|p_1_10:0.303405,d_0_1:5.5251|d_2_13:9.45989|d_0_19:4.56636|d_1_18:0.38833|d_1_5:4.36122|d_1_11:2.27928|d_0_17:0.757631|d_2_19:3.79486,"k0:z_0_8=1,z_0_2=1,z_0_19=0.65501,z_0_14=0.63495,z_0_1=0.39495,z_0_16=0.26006|k1:z_1_4=1,z_1_5=0.69659,z_1_12=0.69659,z_1_18=0.38833,z_1_17=0.38833,z_1_16=0.38833|k2:z_2_9=1,z_2_3=1,z_2_10=0.69659,z_2_15=0.38169,z_2_18=0.36667,z_2_16=0.35161"
dominant_k4_low_gini_1_gs_callback_upper_only_10s:first_relaxation_callback,first_relaxation_callback,z_2_3:0.51556|z_0_18:0.522222|z_0_3:0.444444|z_2_1:0.424573|z_1_1:0.575427|z_2_20:0.325942|z_2_16:0.325942|z_0_16:0.674058,x_0_9_18:0.522222|x_0_18_9:0.522222|x_1_13_1:0.535432|x_1_0_2:0.456614|x_0_3_9:0.444444|x_0_9_3:0.444444|x_2_1_10:0.424573|x_2_10_0:0.424573,p_2_10:9.55367|p_1_10:0.446335|p_1_15:4.55684|p_0_16:6.3429|p_2_7:0.242604|p_1_7:2.2202|p_0_14:7.14715|p_2_16:5.13201,d_1_13:9.45989|d_0_3:0.444444|d_2_1:0.424573|d_2_8:5.57989|d_1_17:5.62377|d_0_8:5.37163|d_0_18:8.36122|d_2_5:4.36122,"k0:z_0_9=1,z_0_4=1,z_0_19=1,z_0_8=0.7574,z_0_14=0.7574,z_0_16=0.67406|k1:z_1_2=1,z_1_13=1,z_1_17=0.81254,z_1_1=0.57543,z_1_11=0.27711,z_1_7=0.25744|k2:z_2_10=0.75051,z_2_3=0.51556,z_2_1=0.42457,z_2_20=0.32594,z_2_16=0.32594,z_2_8=0.2426"
dominant_k4_low_gini_1_gs_callback_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,z_2_3:0.51556|z_0_18:0.522222|z_0_3:0.444444|z_2_1:0.424573|z_1_1:0.575427|z_2_20:0.325942|z_2_16:0.325942|z_0_16:0.674058,x_0_9_18:0.522222|x_0_18_9:0.522222|x_1_13_1:0.535432|x_1_0_2:0.456614|x_0_3_9:0.444444|x_0_9_3:0.444444|x_2_1_10:0.424573|x_2_10_0:0.424573,p_2_10:9.55367|p_1_10:0.446335|p_1_15:4.55684|p_0_16:6.3429|p_2_7:0.242604|p_1_7:2.2202|p_0_14:7.14715|p_2_16:5.13201,d_1_13:9.45989|d_0_3:0.444444|d_2_1:0.424573|d_2_8:5.57989|d_1_17:5.62377|d_0_8:5.37163|d_0_18:8.36122|d_2_5:4.36122,"k0:z_0_9=1,z_0_4=1,z_0_19=1,z_0_8=0.7574,z_0_14=0.7574,z_0_16=0.67406|k1:z_1_2=1,z_1_13=1,z_1_17=0.81254,z_1_1=0.57543,z_1_11=0.27711,z_1_7=0.25744|k2:z_2_10=0.75051,z_2_3=0.51556,z_2_1=0.42457,z_2_20=0.32594,z_2_16=0.32594,z_2_8=0.2426"
dominant_k4_low_gini_1_gs_callback_upper_only_14400s:first_candidate_callback,first_candidate_callback,,,,,"k0:z_0_9=1,z_0_5=1,z_0_20=1,z_0_18=1,z_0_17=1,z_0_14=1|k1:z_1_7=1,z_1_4=1,z_1_19=1,z_1_16=1,z_1_13=1,z_1_10=1|k2:z_2_8=1,z_2_3=1,z_2_2=1,z_2_15=1"
dominant_k4_low_gini_1_gs_callback_upper_only_14400s:first_relaxation_callback,first_relaxation_callback,z_2_3:0.51556|z_0_18:0.522222|z_0_3:0.444444|z_2_1:0.424573|z_1_1:0.575427|z_2_20:0.325942|z_2_16:0.325942|z_0_16:0.674058,x_0_9_18:0.522222|x_0_18_9:0.522222|x_1_13_1:0.535432|x_1_0_2:0.456614|x_0_3_9:0.444444|x_0_9_3:0.444444|x_2_1_10:0.424573|x_2_10_0:0.424573,p_2_10:9.55367|p_1_10:0.446335|p_1_15:4.55684|p_0_16:6.3429|p_2_7:0.242604|p_1_7:2.2202|p_0_14:7.14715|p_2_16:5.13201,d_1_13:9.45989|d_0_3:0.444444|d_2_1:0.424573|d_2_8:5.57989|d_1_17:5.62377|d_0_8:5.37163|d_0_18:8.36122|d_2_5:4.36122,"k0:z_0_9=1,z_0_4=1,z_0_19=1,z_0_8=0.7574,z_0_14=0.7574,z_0_16=0.67406|k1:z_1_2=1,z_1_13=1,z_1_17=0.81254,z_1_1=0.57543,z_1_11=0.27711,z_1_7=0.25744|k2:z_2_10=0.75051,z_2_3=0.51556,z_2_1=0.42457,z_2_20=0.32594,z_2_16=0.32594,z_2_8=0.2426"
dominant_k4_low_gini_1_gs_callback_upper_only_300s:first_relaxation_callback,first_relaxation_callback,z_2_3:0.51556|z_0_18:0.522222|z_0_3:0.444444|z_2_1:0.424573|z_1_1:0.575427|z_2_20:0.325942|z_2_16:0.325942|z_0_16:0.674058,x_0_9_18:0.522222|x_0_18_9:0.522222|x_1_13_1:0.535432|x_1_0_2:0.456614|x_0_3_9:0.444444|x_0_9_3:0.444444|x_2_1_10:0.424573|x_2_10_0:0.424573,p_2_10:9.55367|p_1_10:0.446335|p_1_15:4.55684|p_0_16:6.3429|p_2_7:0.242604|p_1_7:2.2202|p_0_14:7.14715|p_2_16:5.13201,d_1_13:9.45989|d_0_3:0.444444|d_2_1:0.424573|d_2_8:5.57989|d_1_17:5.62377|d_0_8:5.37163|d_0_18:8.36122|d_2_5:4.36122,"k0:z_0_9=1,z_0_4=1,z_0_19=1,z_0_8=0.7574,z_0_14=0.7574,z_0_16=0.67406|k1:z_1_2=1,z_1_13=1,z_1_17=0.81254,z_1_1=0.57543,z_1_11=0.27711,z_1_7=0.25744|k2:z_2_10=0.75051,z_2_3=0.51556,z_2_1=0.42457,z_2_20=0.32594,z_2_16=0.32594,z_2_8=0.2426"
dominant_k4_low_gini_1_gs_callback_upper_only_3600s:first_relaxation_callback,first_relaxation_callback,z_2_3:0.51556|z_0_18:0.522222|z_0_3:0.444444|z_2_1:0.424573|z_1_1:0.575427|z_2_20:0.325942|z_2_16:0.325942|z_0_16:0.674058,x_0_9_18:0.522222|x_0_18_9:0.522222|x_1_13_1:0.535432|x_1_0_2:0.456614|x_0_3_9:0.444444|x_0_9_3:0.444444|x_2_1_10:0.424573|x_2_10_0:0.424573,p_2_10:9.55367|p_1_10:0.446335|p_1_15:4.55684|p_0_16:6.3429|p_2_7:0.242604|p_1_7:2.2202|p_0_14:7.14715|p_2_16:5.13201,d_1_13:9.45989|d_0_3:0.444444|d_2_1:0.424573|d_2_8:5.57989|d_1_17:5.62377|d_0_8:5.37163|d_0_18:8.36122|d_2_5:4.36122,"k0:z_0_9=1,z_0_4=1,z_0_19=1,z_0_8=0.7574,z_0_14=0.7574,z_0_16=0.67406|k1:z_1_2=1,z_1_13=1,z_1_17=0.81254,z_1_1=0.57543,z_1_11=0.27711,z_1_7=0.25744|k2:z_2_10=0.75051,z_2_3=0.51556,z_2_1=0.42457,z_2_20=0.32594,z_2_16=0.32594,z_2_8=0.2426"
