snapshot_id,snapshot_source,S,P,W_SP,sum_i_w_i_T_SP_i,reconstructed_S_times_P,SP_gap_aggregate,SP_gap_disaggregated,top_T_SP_i
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_1200s:first_relaxation_callback,first_relaxation_callback,20.108056709896946,0.20773116312339396,3.4473944234679825,not_available,4.177070008498059,0.7296755850300762,not_available,
dominant_k4_low_gini_1_auto_diagnostic_recommended_profile_300s:first_relaxation_callback,first_relaxation_callback,20.108056709896946,0.20773116312339396,3.4473944234679825,not_available,4.177070008498059,0.7296755850300762,not_available,
dominant_k4_low_gini_1_combined_route_cuts_limited_1200s:first_relaxation_callback,first_relaxation_callback,20.187451100631584,0.16884315531485783,2.802030005133801,not_available,3.408512941595036,0.606482936461235,not_available,
dominant_k4_low_gini_1_combined_route_cuts_limited_300s:first_relaxation_callback,first_relaxation_callback,20.187451100631584,0.16884315531485783,2.802030005133801,not_available,3.408512941595036,0.606482936461235,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_10s:first_relaxation_callback,first_relaxation_callback,20.187451100631574,0.16884315531486102,2.8020300051338545,not_available,3.4085129415950988,0.6064829364612443,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_1200s:first_relaxation_callback,first_relaxation_callback,20.187451100631574,0.16884315531486102,2.8020300051338545,not_available,3.4085129415950988,0.6064829364612443,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_14400s:first_candidate_callback,first_candidate_callback,20.12718864484596,0.2010272338489447,3.747161305824498,not_available,4.046113058429273,0.29895175260477513,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_14400s:first_relaxation_callback,first_relaxation_callback,20.187451100631574,0.16884315531486102,2.8020300051338545,not_available,3.4085129415950988,0.6064829364612443,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_300s:first_relaxation_callback,first_relaxation_callback,20.187451100631574,0.16884315531486102,2.8020300051338545,not_available,3.4085129415950988,0.6064829364612443,not_available,
dominant_k4_low_gini_1_gs_callback_upper_only_3600s:first_relaxation_callback,first_relaxation_callback,20.187451100631574,0.16884315531486102,2.8020300051338545,not_available,3.4085129415950988,0.6064829364612443,not_available,
dominant_k4_low_gini_1_gs_off_1200s:first_relaxation_callback,first_relaxation_callback,20.187451100631584,0.16884315531485783,2.802030005133801,not_available,3.408512941595036,0.606482936461235,not_available,
dominant_k4_low_gini_1_gs_off_300s:first_relaxation_callback,first_relaxation_callback,20.187451100631584,0.16884315531485783,2.802030005133801,not_available,3.408512941595036,0.606482936461235,not_available,
dominant_k4_low_gini_1_gs_plus_sp_1200s:first_relaxation_callback,first_relaxation_callback,20.108056709897173,0.20773116312340634,3.4473944234681873,3.4473944234735847,4.177070008498355,0.7296755850301682,0.7296755850247707,T_SP_8:1.39793|T_SP_7:1.39793|T_SP_6:1.39793|T_SP_5:1.39793|T_SP_3:1.39793|T_SP_20:1.39793|T_SP_19:1.39793|T_SP_18:1.39793
