row_type,path,proof_status,paper_safe,diagnostic_contamination,audit_passed,failures,leaf,variant,budget_seconds,candidate_count,violation_count,cut_count,max_violation,selected_for_paper_certificate,paper_certificate_contamination,row_class
built_in_transfer_validity_test,results\gf_tailored_bc_s_bucket_strengthening_round\raw\validity_transfer-cutset-validity-test.json,paper_safe_guard,True,False,True,,,,,,,,,,,
transfer_cut_audit_row,,not_used,True,False,True,,low_gini_1,callback_compatible_source_transfer,60,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,not_used,True,False,True,,low_gini_1,callback_compatible_source_transfer,300,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,paper_safe_empty_start_net_delivery,True,False,True,,low_gini_1,best_combined_paper_safe,60,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,paper_safe_empty_start_net_delivery,True,False,True,,low_gini_1,best_combined_paper_safe,300,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,paper_safe_empty_start_net_delivery,True,False,True,,low_gini_1,best_combined_paper_safe,1200,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,paper_safe_empty_start_net_delivery,True,False,True,,low_gini_1,best_combined_paper_safe,3600,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,paper_safe_empty_start_net_delivery,True,False,True,,low_gini_2,best_combined_paper_safe,300,,,3.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,not_used,True,False,True,,high_imbalance_seed3201_hard,best_combined_paper_safe,300,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,not_used,True,False,True,,tight_T_seed3102_hard,best_combined_paper_safe,300,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
transfer_cut_audit_row,,not_used,True,False,True,,moderate_seed3302_hard,best_combined_paper_safe,300,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
