parent_leaf,bucket_count,bucket_id,S_L,S_U,sp_mccormick_rows,bucket_specific_box_enforced,paper_safe,audit_passed
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
low_gini_1,8,0,3.24074074074,3.9426117671496557,4,True,False,True
low_gini_1,8,1,3.9426117671496557,5.601544061053298,4,True,False,True
low_gini_1,8,2,5.601544061053298,8.040500614058708,4,True,False,True
low_gini_1,8,3,8.040500614058708,11.181504937422075,4,True,False,True
low_gini_1,8,4,11.181504937422075,14.974976847122683,4,True,False,True
low_gini_1,8,5,14.974976847122683,19.3851442269493,4,True,False,True
low_gini_1,8,6,19.3851442269493,24.384338345623608,4,True,False,True
low_gini_1,8,7,24.384338345623608,29.9501813302,4,True,False,True
low_gini_1,16,0,3.24074074074,4.127577635311914,4,True,False,True
low_gini_1,16,1,4.127577635311914,5.118748282186406,4,True,False,True
low_gini_1,16,2,5.118748282186406,6.214252681363476,4,True,False,True
low_gini_1,16,3,6.214252681363476,7.414090832843124,4,True,False,True
low_gini_1,16,4,7.414090832843124,8.718262736625352,4,True,False,True
low_gini_1,16,5,8.718262736625352,10.126768392710156,4,True,False,True
low_gini_1,16,6,10.126768392710156,11.639607801097538,4,True,False,True
low_gini_1,16,7,11.639607801097538,13.256780961787499,4,True,False,True
low_gini_1,16,8,13.256780961787499,14.978287874780039,4,True,False,True
low_gini_1,16,9,14.978287874780039,16.804128540075155,4,True,False,True
low_gini_1,16,10,16.804128540075155,18.734302957672853,4,True,False,True
low_gini_1,16,11,18.734302957672853,20.768811127573127,4,True,False,True
low_gini_1,16,12,20.768811127573127,22.907653049775977,4,True,False,True
low_gini_1,16,13,22.907653049775977,25.150828724281407,4,True,False,True
low_gini_1,16,14,25.150828724281407,27.498338151089413,4,True,False,True
low_gini_1,16,15,27.498338151089413,29.9501813302,4,True,False,True
low_gini_1,4,0,3.24074074074,11.836884768687916,4,True,False,True
low_gini_1,4,1,11.836884768687916,19.472280155095834,4,True,False,True
low_gini_1,4,2,19.472280155095834,25.839784009539798,4,True,False,True
low_gini_1,4,3,25.839784009539798,29.9501813302,4,True,False,True
low_gini_1,4,0,3.24074074074,9.918100888105,4,True,True,True
low_gini_1,4,1,9.918100888105,16.59546103547,4,True,True,True
low_gini_1,4,2,16.59546103547,23.272821182835,4,True,True,True
low_gini_1,4,3,23.272821182835,29.9501813302,4,True,True,True
