leaf,variant,budget_seconds,json_path,command_hash
low_gini_1,plain_fixed_interval_mip,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_60s.json,eb223d6b297a3a2b
low_gini_1,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_300s.json,ebd4602ec70c5e8d
low_gini_1,static_tailored_compact_bc,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_60s.json,3edaeb855540d17e
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_300s.json,8aa6f7b265f1dc20
low_gini_1,callback_no_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_60s.json,fc7b4310c7f7ece9
low_gini_1,callback_no_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_300s.json,c3488cae73f786b7
low_gini_1,callback_low_gini_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_60s.json,6ae9a3b67f975820
low_gini_1,callback_low_gini_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_300s.json,426a46ed00d9c1ad
low_gini_1,callback_local_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_60s.json,d2828cce54640554
low_gini_1,callback_local_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_300s.json,7ffe66a53e3dc814
low_gini_1,callback_local_q_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_q_centering_60s.json,6fa0d485f5ceb62d
low_gini_1,callback_local_q_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_q_centering_300s.json,c49e63ec3d2fb0c3
low_gini_1,callback_subset_cross_h_centering,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_subset_cross_h_centering_60s.json,f505cb34e47c27b4
low_gini_1,callback_subset_cross_h_centering,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_subset_cross_h_centering_300s.json,79667b22984d76d8
low_gini_1,callback_required_external_source,60,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_required_external_source_60s.json,fe321f510f440dc9
low_gini_1,callback_required_external_source,300,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_required_external_source_300s.json,87d3f0992bd23e61
