leaf,variant,budget_seconds,snapshot_file,snapshot_rows,snapshot_scope,best_snapshot_bound
low_gini_1,callback_local_plus_subset,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_local_plus_subset_60s.csv,4,nearest_relaxation_callback,0.0449525444903
low_gini_1,callback_local_plus_subset,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_local_plus_subset_300s.csv,11,nearest_relaxation_callback,0.0474391084579
low_gini_1,callback_q_plus_subset,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_q_plus_subset_60s.csv,4,nearest_relaxation_callback,0.0450352006286
low_gini_1,callback_q_plus_subset,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_q_plus_subset_300s.csv,11,nearest_relaxation_callback,0.0479760913514
low_gini_1,all_low_gini_safe_cuts,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_all_low_gini_safe_cuts_60s.csv,4,nearest_relaxation_callback,0.0454438670364
low_gini_1,all_low_gini_safe_cuts,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_all_low_gini_safe_cuts_300s.csv,12,nearest_relaxation_callback,0.0476356289487
low_gini_1,all_low_gini_safe_cuts_denominator,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_all_low_gini_safe_cuts_denominator_60s.csv,4,nearest_relaxation_callback,0.0454438670364
low_gini_1,all_low_gini_safe_cuts_denominator,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_all_low_gini_safe_cuts_denominator_300s.csv,11,nearest_relaxation_callback,0.0476339655828
low_gini_1,s_bucket_diagnostic,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_s_bucket_diagnostic_60s.csv,2,nearest_relaxation_callback,1e+75
low_gini_1,s_bucket_diagnostic,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_s_bucket_diagnostic_300s.csv,2,nearest_relaxation_callback,1e+75
low_gini_1,best_combined_paper_safe,60,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_60s.csv,4,nearest_relaxation_callback,0.0454223718245
low_gini_1,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.04762614888
low_gini_1,plain_fixed_interval_mip,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_1200s.csv,1,final_json_no_progress_trace,0.047545404397
low_gini_1,static_tailored_compact_bc,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_static_tailored_compact_bc_1200s.csv,41,nearest_relaxation_callback,0.0487233640003
low_gini_1,callback_subset_cross_h_centering,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_subset_cross_h_centering_1200s.csv,41,nearest_relaxation_callback,0.0487233640003
low_gini_1,callback_local_q_centering,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_callback_local_q_centering_1200s.csv,41,nearest_relaxation_callback,0.0487233640003
low_gini_1,all_low_gini_safe_cuts_denominator,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_all_low_gini_safe_cuts_denominator_1200s.csv,41,nearest_relaxation_callback,0.048388162834
low_gini_1,best_combined_paper_safe,1200,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_1200s.csv,41,nearest_relaxation_callback,0.048388162834
low_gini_1,plain_fixed_interval_mip,3600,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_3600s.csv,1,final_json_no_progress_trace,0.048296011755
low_gini_1,best_combined_paper_safe,3600,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_3600s.csv,121,nearest_relaxation_callback,0.0487233640003
low_gini_2,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_2_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.048894652654
low_gini_2,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\low_gini_2_best_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.0489209015481
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,2.1614881406
high_imbalance_seed3201_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,2.27667764295
tight_T_seed3102_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.31243853008
tight_T_seed3102_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\tight_T_seed3102_hard_best_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.517898731718
moderate_seed3302_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\moderate_seed3302_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.14433286301
moderate_seed3302_hard,best_combined_paper_safe,300,results\gf_tailored_bc_s_bucket_strengthening_round\plateau_snapshots\moderate_seed3302_hard_best_combined_paper_safe_300s.csv,11,nearest_relaxation_callback,0.14256670012
