leaf,variant,budget_seconds,command_hash,lp_hash,model_lp_exists,compact_bc_solver_threads,thread_fairness_class,audit_passed,failures
low_gini_1,plain_fixed_interval_mip,60,eb223d6b297a3a2b,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,300,ebd4602ec70c5e8d,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,60,3edaeb855540d17e,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,300,8aa6f7b265f1dc20,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,callback_no_cuts,60,fc7b4310c7f7ece9,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,callback_no_cuts,300,c3488cae73f786b7,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,callback_low_gini_cuts,60,6ae9a3b67f975820,b2fd9d679b1f3a49,True,1,one_thread_fair,True,
low_gini_1,callback_low_gini_cuts,300,426a46ed00d9c1ad,b2fd9d679b1f3a49,True,1,one_thread_fair,True,
low_gini_1,callback_local_centering,60,d2828cce54640554,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,callback_local_centering,300,7ffe66a53e3dc814,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,callback_local_q_centering,60,6fa0d485f5ceb62d,17e9afb901e19fda,True,1,one_thread_fair,True,
low_gini_1,callback_local_q_centering,300,c49e63ec3d2fb0c3,17e9afb901e19fda,True,1,one_thread_fair,True,
low_gini_1,callback_subset_cross_h_centering,60,f505cb34e47c27b4,05473d3f18d846ab,True,1,one_thread_fair,True,
low_gini_1,callback_subset_cross_h_centering,300,79667b22984d76d8,05473d3f18d846ab,True,1,one_thread_fair,True,
low_gini_1,callback_required_external_source,60,fe321f510f440dc9,1990a9e62e499ec3,True,1,one_thread_fair,True,
low_gini_1,callback_required_external_source,300,87d3f0992bd23e61,1990a9e62e499ec3,True,1,one_thread_fair,True,
low_gini_1,callback_compatible_source_transfer,60,c188a9676b6f8306,b2fd9d679b1f3a49,True,1,one_thread_fair,True,
low_gini_1,callback_compatible_source_transfer,300,8b2d613c209f8b17,b2fd9d679b1f3a49,True,1,one_thread_fair,True,
low_gini_1,callback_local_plus_q,60,d20c8b1d066053f6,e3dfb3765a169afb,True,1,one_thread_fair,True,
low_gini_1,callback_local_plus_q,300,d9a82259b2927ce1,e3dfb3765a169afb,True,1,one_thread_fair,True,
low_gini_1,callback_local_plus_subset,60,eb20c092f916f558,5b122724f90b6c3a,True,1,one_thread_fair,True,
low_gini_1,callback_local_plus_subset,300,ce5c6cc371699292,5b122724f90b6c3a,True,1,one_thread_fair,True,
low_gini_1,callback_q_plus_subset,60,3a3f3f7aed56e391,029e83a92ebaf2bd,True,1,one_thread_fair,True,
low_gini_1,callback_q_plus_subset,300,fb2456a45961ffec,029e83a92ebaf2bd,True,1,one_thread_fair,True,
low_gini_1,all_low_gini_safe_cuts,60,2c18af3ff7f13795,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,all_low_gini_safe_cuts,300,a4db23093770eb87,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,all_low_gini_safe_cuts_denominator,60,86e2dcaf77e967fd,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,all_low_gini_safe_cuts_denominator,300,70d2592be2c7c934,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,s_bucket_diagnostic,60,75341fcd6def2dc9,52ec78c6a408fda9,True,1,one_thread_fair,True,
low_gini_1,s_bucket_diagnostic,300,8be700c4c4d7fedb,52ec78c6a408fda9,True,1,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,60,7951e67f9b1eb149,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,300,126d5532979ee7d9,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,1200,107654c99dfd4e13,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,static_tailored_compact_bc,1200,c9b77c3f1d809121,f17ee827e81d7ad7,True,1,one_thread_fair,True,
low_gini_1,callback_subset_cross_h_centering,1200,f5022bb06c40ce64,05473d3f18d846ab,True,1,one_thread_fair,True,
low_gini_1,callback_local_q_centering,1200,30f221d9fc767799,17e9afb901e19fda,True,1,one_thread_fair,True,
low_gini_1,all_low_gini_safe_cuts_denominator,1200,22d6710095e1a176,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,1200,6a87267cdf4ef56a,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_1,plain_fixed_interval_mip,3600,da6604e771be1799,3fa039d78c1b46af,True,0,one_thread_fair,True,
low_gini_1,best_combined_paper_safe,3600,fba8ab016180f578,b123a60387c38930,True,1,one_thread_fair,True,
low_gini_2,plain_fixed_interval_mip,300,db2c2818608c7a25,df7f1aa859c8801c,True,0,one_thread_fair,True,
low_gini_2,best_combined_paper_safe,300,d441a7bb2f734b84,c170e370e54aef39,True,1,one_thread_fair,True,
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,2ae1cf28e299693f,3ce64ca6b5d3730d,True,0,one_thread_fair,True,
high_imbalance_seed3201_hard,best_combined_paper_safe,300,92bcbc4a25549ea5,7f6156a157f94aa1,True,1,one_thread_fair,True,
tight_T_seed3102_hard,plain_fixed_interval_mip,300,48bc362daeb84716,acf35ccda4df7df5,True,0,one_thread_fair,True,
tight_T_seed3102_hard,best_combined_paper_safe,300,c08311cb498eae29,5be5f3c8320c592c,True,1,one_thread_fair,True,
moderate_seed3302_hard,plain_fixed_interval_mip,300,1e1fa96ae3acb753,814f939210f6d585,True,0,one_thread_fair,True,
moderate_seed3302_hard,best_combined_paper_safe,300,8bed27d4abb4d164,9849e51c2581e47a,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,60,f6038ec681b9f5c7,95cf398a52ee795c,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,60,8f7669d8a0d3af86,b85172ccb5a5b271,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,60,e8d126fdc3097364,4e81b95595c879be,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,60,43bc9171f60149c2,2f52565e162f700a,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,300,ed729127062cb703,95cf398a52ee795c,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,300,251b9d002cced5dc,b85172ccb5a5b271,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,300,045f9737114bb31c,4e81b95595c879be,True,1,one_thread_fair,True,
low_gini_1,S_bucket_paper_safe_if_implemented,300,0e3adc1574ae8945,2f52565e162f700a,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,d5795dfc06e7e105,ed89604f83a36bb8,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,4208d4f4c258feba,36094a20467e9002,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,1502855ec43fb23c,cb6d0d63ce58cdfd,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,e6f92a1b5ab5d505,1f96b8f10e290809,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,d8a3d833cad5313a,02023dd1ca719412,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,2a51672766da2ca9,80edb6aa2e5af073,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,c6264b7005c4bdeb,c7c58e1a90190fc3,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-cutoff,60,70459090ff6f847f,78b8b66a6415a44c,True,1,one_thread_fair,True,
low_gini_1,S_bucket_diagnostic_adaptive-hybrid,60,07aa642b4187e470,079290348f7f2088,True,1,one_thread_fair,True,
