leaf,variant,budget_seconds,proof_status,paper_safe,candidate_count,violation_count,cut_count,max_violation,selected_for_paper_certificate,paper_certificate_contamination,row_class
low_gini_1,callback_compatible_source_transfer,60,not_used,True,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_1,callback_compatible_source_transfer,300,not_used,True,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_1,best_combined_paper_safe,60,paper_safe_empty_start_net_delivery,True,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_1,best_combined_paper_safe,300,paper_safe_empty_start_net_delivery,True,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_1,best_combined_paper_safe,1200,paper_safe_empty_start_net_delivery,True,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_1,best_combined_paper_safe,3600,paper_safe_empty_start_net_delivery,True,,,1.0,,False,False,paper_safe_fixed_interval_tailored_bc
low_gini_2,best_combined_paper_safe,300,paper_safe_empty_start_net_delivery,True,,,3.0,,False,False,paper_safe_fixed_interval_tailored_bc
high_imbalance_seed3201_hard,best_combined_paper_safe,300,not_used,True,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
tight_T_seed3102_hard,best_combined_paper_safe,300,not_used,True,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
moderate_seed3302_hard,best_combined_paper_safe,300,not_used,True,,,0.0,,False,False,paper_safe_fixed_interval_tailored_bc
