leaf,variant,budget_seconds,top_fractional_z,top_fractional_p,top_fractional_d,node_count,checkpoint_valid_rows
low_gini_1,plain_fixed_interval_mip,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1968,0
low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,4250,0
low_gini_1,static_tailored_compact_bc,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,3481,3
low_gini_1,static_tailored_compact_bc,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,16022,11
low_gini_1,callback_no_cuts,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1980,3
low_gini_1,callback_no_cuts,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,4178,11
low_gini_1,callback_low_gini_cuts,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,6780,3
low_gini_1,callback_low_gini_cuts,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,27611,11
low_gini_1,callback_local_centering,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,3482,3
low_gini_1,callback_local_centering,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,16069,10
low_gini_1,callback_local_q_centering,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,5950,3
low_gini_1,callback_local_q_centering,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,26081,11
low_gini_1,callback_subset_cross_h_centering,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1607,3
low_gini_1,callback_subset_cross_h_centering,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10967,11
low_gini_1,callback_required_external_source,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,5257,3
low_gini_1,callback_required_external_source,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,19377,10
