selected_for_summary,row_certificate_source_class,certified_original_problem,leaf_solver_row,compact_bc_called_this_row,compact_bc_called_any_child,parent_row_compact_bc_called_any_leaf,compact_bc_diagnostic_only,paper_certificate_contamination,file,audit_passed,failures
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_60s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_no_cuts_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_low_gini_cuts_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_centering_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_q_centering_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_q_centering_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_subset_cross_h_centering_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_subset_cross_h_centering_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_required_external_source_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_required_external_source_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_compatible_source_transfer_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_compatible_source_transfer_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_plus_q_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_plus_q_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_plus_subset_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_plus_subset_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_q_plus_subset_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_q_plus_subset_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_all_low_gini_safe_cuts_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_all_low_gini_safe_cuts_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_all_low_gini_safe_cuts_denominator_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_all_low_gini_safe_cuts_denominator_300s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_s_bucket_diagnostic_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_s_bucket_diagnostic_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_best_combined_paper_safe_60s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_best_combined_paper_safe_300s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_1200s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_static_tailored_compact_bc_1200s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_subset_cross_h_centering_1200s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_callback_local_q_centering_1200s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_all_low_gini_safe_cuts_denominator_1200s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_best_combined_paper_safe_1200s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_plain_fixed_interval_mip_3600s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_1_best_combined_paper_safe_3600s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_2_plain_fixed_interval_mip_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\low_gini_2_best_combined_paper_safe_300s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\tight_T_seed3102_hard_best_combined_paper_safe_300s.json,True,
False,benchmark_only,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,True,
True,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\moderate_seed3302_hard_best_combined_paper_safe_300s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_60s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_60s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_60s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_60s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b0_low_gini_1_best_combined_paper_safe_300s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b1_low_gini_1_best_combined_paper_safe_300s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b2_low_gini_1_best_combined_paper_safe_300s.json,True,
False,tailored_bc_assisted_noncertified,False,True,True,False,False,False,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_paper-safe_uniform_K4_b3_low_gini_1_best_combined_paper_safe_300s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b0_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b1_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b2_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b3_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b4_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b5_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b6_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-cutoff_K8_b7_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b0_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b1_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b2_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b3_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b4_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b5_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b6_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b7_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b8_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b9_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b10_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b11_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b12_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b13_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b14_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-hybrid_K16_b15_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-snapshot_K4_b0_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-snapshot_K4_b1_low_gini_1_best_combined_paper_safe_60s.json,True,
False,compact_bc_leaf_diagnostic,False,True,True,False,False,True,False,results\gf_tailored_bc_s_bucket_strengthening_round\raw\s_bucket_diagnostic_adaptive-snapshot_K4_b2_low_gini_1_best_combined_paper_safe_60s.json,True,
