parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L0,0.113908,L0.0,0.127181,0,L0.1,0.127951,0,0.127181,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1,0.136021,L1.0,0.138297,0,L1.1,0.152249,0,0.138297,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L2,0.167931,L2.0,0.167999,0,L2.1,0.187611,0,0.167999,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.0,0.127181,L0.0.0,0.1463,0,L0.0.1,0.133566,0,0.133566,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1,0.127951,L0.1.0,0.133151,0,L0.1.1,0.134974,0,0.133151,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0,0.133151,L0.1.0.0,0.13624,0,L0.1.0.1,0.136515,0,0.13624,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1,0.133566,L0.0.1.0,0.141034,0,L0.0.1.1,0.136765,0,0.136765,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1,0.134974,L0.1.1.0,0.137269,0,L0.1.1.1,0.138477,0,0.137269,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0,0.13624,L0.1.0.0.0,0.138113,0,L0.1.0.0.1,0.137843,0,0.137843,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1,0.136515,L0.1.0.1.0,0.138022,0,L0.1.0.1.1,0.138197,0,0.138022,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1,0.136765,L0.0.1.1.0,0.138604,0,L0.0.1.1.1,0.138366,0,0.138366,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.0,0.137269,L0.1.1.0.0,0.13841,0,L0.1.1.0.1,0.139025,0,0.13841,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.1,0.137843,L0.1.0.0.1.0,0.138782,0,L0.1.0.0.1.1,0.138676,0,0.138676,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1.0,0.138022,L0.1.0.1.0.0,0.138771,0,L0.1.0.1.0.1,0.138864,0,0.138771,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.0,0.138113,L0.1.0.0.0.0,0.139043,0,L0.1.0.0.0.1,0.138914,0,0.138914,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.1.1,0.138197,L0.1.0.1.1.0,0.138953,0,L0.1.0.1.1.1,0.139039,0,0.138953,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L1.0,0.138297,L1.0.0,0.139734,0,L1.0.1,0.146273,0,0.139734,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1.1,0.138366,L0.0.1.1.1.0,0.139287,0,L0.0.1.1.1.1,0.139167,0,0.139167,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.0.0,0.13841,L0.1.1.0.0.0,0.139122,0,L0.1.1.0.0.1,0.139289,0,0.139122,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.1.1,0.138477,L0.1.1.1.0,0.139631,0,L0.1.1.1.1,0.140289,0,0.139631,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.0.1.1.0,0.138604,L0.0.1.1.0.0,0.141062,0,L0.0.1.1.0.1,0.139402,0,0.139402,1e-07,"normalized_child_disjunction_gain_reaches_rho"
L0.1.0.0.1.1,0.138676,L0.1.0.0.1.1.0,0.139114,0,L0.1.0.0.1.1.1,0.139096,0,0.139096,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.1.0.1.0.0,0.138771,L0.1.0.1.0.0.0,0.139145,0,L0.1.0.1.0.0.1,0.139192,0,0.139145,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.1.0.0.1.0,0.138782,L0.1.0.0.1.0.0,0.139249,0,L0.1.0.0.1.0.1,0.139182,0,0.139182,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.1.0.1.0.1,0.138864,L0.1.0.1.0.1.0,0.139239,0,L0.1.0.1.0.1.1,0.139284,0,0.139239,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.1.0.0.0.1,0.138914,L0.1.0.0.0.1.0,0.13938,0,L0.1.0.0.0.1.1,0.139315,0,0.139315,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
L0.1.0.1.1.0,0.138953,L0.1.0.1.1.0.0,0.139329,0,L0.1.0.1.1.0.1,0.139374,0,0.139329,1e-07,"small_positive_disjunction_gain_requires_parent_native_target"
