run_id,record_type,checkpoint_seconds,observation_available,freshness,source_observation_time_seconds,observation_age_seconds,native_best_bound,processed_nodes,open_nodes,simplex_iterations,gini_branch_count,ordinary_branch_count,common_same_run_ub,same_run_project_gap
round23_stage0clean__V12_M2__s0m__75s,checkpoint,1,True,fresh,0.79477160000000002,0.20522839999999998,0.37874589033134765,0,1,2863,0,0,0.7185040707549709,0.4728688315803431
round23_stage0clean__V12_M2__s0m__75s,checkpoint,2,True,fresh,1.0821339999999999,0.9178660000000001,0.37875660869276095,0,1,2926,0,0,0.7185040707549709,0.47285391397326254
round23_stage0clean__V12_M2__s0m__75s,checkpoint,5,True,fresh,4.9603453000000002,0.03965469999999982,0.64349991059840128,10,5,10637,7,0,0.7185040707549709,0.1043893322382415
round23_stage0clean__V12_M2__s0m__75s,checkpoint,10,True,fresh,9.9873508999999991,0.012649100000000857,0.65851588004850159,184,61,27978,33,89,0.7185040707549709,0.0834903978253547
round23_stage0clean__V12_M2__s0m__75s,checkpoint,15,True,fresh,14.9857882,0.014211799999999997,0.66245232096059403,468,160,55453,45,269,0.7185040707549709,0.07801173587712633
round23_stage0clean__V12_M2__s0m__75s,checkpoint,20,True,fresh,19.9846732,0.015326800000000418,0.66634636844709449,837,377,85755,65,542,0.7185040707549709,0.0725920762746292
round23_stage0clean__V12_M2__s0m__75s,checkpoint,30,True,fresh,29.989086400000001,0.010913599999998524,0.67305217079706547,1534,723,151800,74,1055,0.7185040707549709,0.06325907090567584
round23_stage0clean__V12_M2__s0m__75s,checkpoint,45,True,stale,43.646532700000002,1.3534672999999984,0.67950810619786017,2549,1166,236227,87,1773,0.7185040707549709,0.054273825499882807
round23_stage0clean__V12_M2__s0m__75s,checkpoint,60,True,stale,43.646532700000002,16.3534673,0.67950810619786017,2549,1166,236227,87,1773,0.7185040707549709,0.054273825499882807
round23_stage0clean__V12_M2__s0m__75s,solver_final,solver_final,True,solver_final,43.6468256,0,0.67950810619786017,2549,1166,236227,87,1773,0.7185040707549709,0.054273825499882807
