variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_300_v12_m1,300,12,0,aggregate,1,1,0
baseline_300_v12_m1,300,12,0,aggregate,2,264,0
baseline_300_v12_m1,300,12,0,aggregate,3,24929,0
baseline_300_v12_m1,300,12,0,aggregate,4,369761,0
baseline_300_v12_m1,300,12,0,aggregate,5,3521209,0
baseline_300_v12_m1,300,12,0,aggregate,6,25143744,0
baseline_300_v12_m1,300,12,0,aggregate,7,137318709,0
baseline_300_v12_m1,300,12,0,aggregate,8,557223446,0
baseline_300_v12_m1,300,12,0,aggregate,9,1565779603,0
baseline_300_v12_m1,300,12,0,aggregate,10,2685211457,0
baseline_300_v12_m1,300,12,0,aggregate,11,2351760699,0
baseline_300_v12_m1,300,12,0,aggregate,12,758019736,0
