run_id,artifact_role,source_path,size_bytes,sha256
stage2__V12_M1__baseline__900s,raw_result_json,results/gf_global_gini_tree_regression_round/raw/stage2__V12_M1__baseline__900s.json,65439,82dfe055bedeb3a097a91cfe826a0b595cbe255459d05d0c95764c5fe686da64
stage2__V12_M1__baseline__900s,command_json,results/gf_global_gini_tree_regression_round/commands/stage2__V12_M1__baseline__900s.json,9927,8beea19e6b27937a009a822df07e62df189a7632746c7d92a85c147491eb6bfb
stage2__V12_M1__baseline__900s,model_lifecycle_manifest,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M1__baseline__900s/model_lifecycle_manifest.csv,2003,79f098cc5934ce1146b9cf628f9b612272ba32af3755580f2d5dc9fc846a7dc8
stage2__V12_M1__baseline__900s,global_bound_trajectory,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M1__baseline__900s/global_bound_trajectory.csv,834,b640f1db3d22a8e36deeebf90c5ffcd55997d6963f2a64d9b55051034d2c5ea7
stage2__V12_M1__root_flow_only__900s,raw_result_json,results/gf_global_gini_tree_regression_round/raw/stage2__V12_M1__root_flow_only__900s.json,65543,7837bb67b9b38b9180f3fa06df3094b77da9656972e0a3eb238b4625c9e6417d
stage2__V12_M1__root_flow_only__900s,command_json,results/gf_global_gini_tree_regression_round/commands/stage2__V12_M1__root_flow_only__900s.json,10093,af71c74400193716222ac43622414e70dec3533874ec3b7ba07852108b54b5a1
stage2__V12_M1__root_flow_only__900s,model_lifecycle_manifest,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M1__root_flow_only__900s/model_lifecycle_manifest.csv,2009,6db4e21dc34613792606858b727c60f378aa2a9add6889bc362decfb2019cebf
stage2__V12_M1__root_flow_only__900s,global_bound_trajectory,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M1__root_flow_only__900s/global_bound_trajectory.csv,843,ae2c0ad363e0a5a2c15768c95126087ed0b6e5b10d1e073d5c93c223900b7d32
stage2__V12_M2__baseline__900s,raw_result_json,results/gf_global_gini_tree_regression_round/raw/stage2__V12_M2__baseline__900s.json,65799,ed804212d4aa79cbe7190c20f96d9ba1922a5e6900ad2d5608b545e572e471d8
stage2__V12_M2__baseline__900s,command_json,results/gf_global_gini_tree_regression_round/commands/stage2__V12_M2__baseline__900s.json,9926,1e48d1e3a8d9fd0e36b7ffeb2b118dfa0134e68eac186dbb4e6725787539134e
stage2__V12_M2__baseline__900s,model_lifecycle_manifest,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M2__baseline__900s/model_lifecycle_manifest.csv,1997,9eeea883c22ced01489c41073236b8b386e29aca9301ab373a67f05b2d65baed
stage2__V12_M2__baseline__900s,global_bound_trajectory,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M2__baseline__900s/global_bound_trajectory.csv,921,fc8d8aaab5f3d64173000ad9d592e5c13a89eceedc08696596658d79f849a514
stage2__V12_M2__root_flow_only__900s,raw_result_json,results/gf_global_gini_tree_regression_round/raw/stage2__V12_M2__root_flow_only__900s.json,65904,9549ef9f1d09c194453ffcd62822ed7e8b13e891e1c472eec83f9c89dfeb6612
stage2__V12_M2__root_flow_only__900s,command_json,results/gf_global_gini_tree_regression_round/commands/stage2__V12_M2__root_flow_only__900s.json,10091,bf794a362b9c7b569aa3e184e523b87b3de2e8fd12b31cd08630e459c03892e1
stage2__V12_M2__root_flow_only__900s,model_lifecycle_manifest,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M2__root_flow_only__900s/model_lifecycle_manifest.csv,2007,186844c197e82b2b78b1d809485913b5f7c683846f04549a68bc99206e5ea6ec
stage2__V12_M2__root_flow_only__900s,global_bound_trajectory,results/gf_global_gini_tree_regression_round/runs/stage2__V12_M2__root_flow_only__900s/global_bound_trajectory.csv,870,9dde97fea3545f735caddbbab5293526e86d3071410560e613c22168127884c9
