run_id,instance,arm,historical_classification,round21_strict_certificate_claimable,classification_reason,native_status_code,native_status_text,global_tree_return_code,process_return_code,solver_finalization_reached,verification_feasible,verification_objective_matches,native_best_bound_available,json_native_objective,json_native_best_bound,trajectory_native_incumbent,trajectory_native_best_bound,trajectory_recorded_native_gap,computed_absolute_native_gap,computed_project_relative_gap_max1,computed_cplex_denominator_relative_gap,serialized_status,serialized_objective,serialized_lower_bound,serialized_upper_bound,serialized_gap,serialized_lower_bound_differs_from_native_bound,serialized_zero_gap_contradicts_native_gap,lifecycle_status_text,lifecycle_cpxmipopt_count,final_trajectory_event,missing_round21_evidence
stage2__V12_M1__baseline__900s,V12_M1,baseline,tolerance_only,false,CPXMIP_OPTIMAL_TOL (102) is tolerance termination and is never strict.,102,"integer optimal, tolerance",0,0,true,true,true,true,0.357200583208,0.35719986149,0.35720058320768794,0.35719986149047245,7.2171721549052492E-7,7.2171721549E-7,7.2171721549E-7,0.000002020481626336881344296560773,optimal,0.357200583208,0.357200583208,0.357200583208,0,true,true,"integer optimal, tolerance",1,solver_final,relative_gap_parameter_set_rc_and_readback|absolute_gap_parameter_set_rc_and_readback|CPXgetstat_return_code|CPXgetobjval_return_code|CPXgetbestobjval_return_code|CPXgetmiprelgap_return_code
stage2__V12_M1__root_flow_only__900s,V12_M1,root_flow_only,tolerance_only,false,CPXMIP_OPTIMAL_TOL (102) is tolerance termination and is never strict.,102,"integer optimal, tolerance",0,0,true,true,true,true,0.357200583208,0.357200266834,0.35720058320768378,0.35720026683430645,3.1637337732925985E-7,3.1637337733E-7,3.1637337733E-7,8.857022975729123295638112350E-7,optimal,0.357200583208,0.357200583208,0.357200583208,0,true,true,"integer optimal, tolerance",1,solver_final,relative_gap_parameter_set_rc_and_readback|absolute_gap_parameter_set_rc_and_readback|CPXgetstat_return_code|CPXgetobjval_return_code|CPXgetbestobjval_return_code|CPXgetmiprelgap_return_code
stage2__V12_M2__baseline__900s,V12_M2,baseline,historical_strict_candidate,false,CPXMIP_OPTIMAL (101) is the only selected status that can be a strict candidate; Round-20 omitted evidence required for a Round-21 strict claim.,101,integer optimal solution,0,0,true,true,true,true,0.718504070755,0.718504070755,0.71850407075533274,0.71850407075533274,0,0E-17,0E-17,0,optimal,0.718504070755,0.718504070755,0.718504070755,0,true,false,integer optimal solution,1,solver_final,relative_gap_parameter_set_rc_and_readback|absolute_gap_parameter_set_rc_and_readback|CPXgetstat_return_code|CPXgetobjval_return_code|CPXgetbestobjval_return_code|CPXgetmiprelgap_return_code
stage2__V12_M2__root_flow_only__900s,V12_M2,root_flow_only,tolerance_only,false,CPXMIP_OPTIMAL_TOL (102) is tolerance termination and is never strict.,102,"integer optimal, tolerance",0,0,true,true,true,true,0.718504070755,0.718503616229,0.71850407075532763,0.71850361622922809,4.5452609953589018E-7,4.5452609954E-7,4.5452609954E-7,6.326005905560412986151919973E-7,optimal,0.718504070755,0.718504070755,0.718504070755,0,true,true,"integer optimal, tolerance",1,solver_final,relative_gap_parameter_set_rc_and_readback|absolute_gap_parameter_set_rc_and_readback|CPXgetstat_return_code|CPXgetobjval_return_code|CPXgetbestobjval_return_code|CPXgetmiprelgap_return_code
