instance,family,left_arm,right_arm,common_verified_ub,left_final_lb,right_final_lb,final_lb_delta_right_minus_left,left_common_gap,right_common_gap,left_strict_certificate,right_strict_certificate,auc_status,auc_reason,common_window_start_process_seconds,common_window_end_process_seconds,common_window_duration_seconds,left_mean_valid_lower_bound,right_mean_valid_lower_bound,left_normalized_proof_auc,right_normalized_proof_auc,normalized_proof_auc_delta_right_minus_left
V12_M1,v12,P-GRB,C5-CANDIDATE,0.0,0.0,0.3572005832084146,0.3572005832084146,0.0,0.0,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,6.0913134,34.8290489667572,28.7377355667572,0.3391837112975208,0.30967840933500546,1.0,1.0,0.0
V12_M2,v12,P-GRB,C5-CANDIDATE,0.0,0.0,0.7185040707549704,0.7185040707549704,0.0,0.0,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,6.7894266,169.15636744850158,162.36694084850157,0.6947419834855163,0.6506630182103598,1.0000000000000002,1.0000000000000002,0.0
high_imbalance_seed3202,high_imbalance,P-GRB,C5-CANDIDATE,0.0,0.0,1.749313452050631,1.749313452050631,0.0,0.0,False,True,observed_common_window,no_interpolation_no_post_last_event_extension,16.3205815,211.6262267,195.3056452,1.0564373397035733,1.648716786505014,1.0,1.0,0.0
high_imbalance_seed4201,high_imbalance,P-GRB,C5-CANDIDATE,0.0,0.0,2.690845603962983,2.690845603962983,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,16.4604795,295.0012965332428,278.5408170332428,1.9757377233702247,2.6693177017139975,1.0,1.0,0.0
high_imbalance_seed5202,high_imbalance,P-GRB,C5-CANDIDATE,0.0,0.0,1.0159527187400632,1.0159527187400632,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,13.7730963,295.0047094847412,281.2316131847412,0.9206697343518343,1.0105416424941136,1.0000000000000002,1.0000000000000002,0.0
high_imbalance_seed5203,high_imbalance,P-GRB,C5-CANDIDATE,0.0,0.0,2.3524097575828193,2.3524097575828193,0.0,0.0,False,True,observed_common_window,no_interpolation_no_post_last_event_extension,14.2586179,253.6214547,239.3628368,1.969874032731163,2.06210074508527,0.9999999999999999,0.9999999999999999,0.0
high_imbalance_seed6202,high_imbalance,P-GRB,C5-CANDIDATE,0.0,0.0,7.461555638889693,7.461555638889693,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,21.2875164,295.0057048419617,273.7181884419617,7.855613848159146,6.695806274501246,1.0000000000000002,1.0000000000000002,0.0
moderate_seed3302,moderate,P-GRB,C5-CANDIDATE,0.0,0.0,0.13984710960974936,0.13984710960974936,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,19.9914791,295.00301230572205,275.01153320572206,0.12851325521759221,0.13832056803281664,1.0,1.0,0.0
moderate_seed4302,moderate,P-GRB,C5-CANDIDATE,0.0,0.0,0.016240295448157305,0.016240295448157305,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,19.1544424,295.0022326332428,275.8477902332428,8.816848156789093e-08,0.012382723948679708,1.0,1.0,0.0
moderate_seed5301,moderate,P-GRB,C5-CANDIDATE,0.0,0.0,0.08450251911563354,0.08450251911563354,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,20.671035,295.0015451332428,274.3305101332428,0.07179729989685842,0.08317512436629448,1.0,1.0,0.0
moderate_seed5302,moderate,P-GRB,C5-CANDIDATE,0.0,0.0,0.02742039834230075,0.02742039834230075,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,20.0488248,295.00113712479555,274.95231232479557,0.024687869348046676,0.0245177964509335,1.0,1.0,0.0
moderate_seed6301,moderate,P-GRB,C5-CANDIDATE,0.0,0.0,0.4949981501640891,0.4949981501640891,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,51.0210222,295.0058820485016,243.98485984850157,0.4254827717736834,0.3963690742180388,1.0,1.0,0.0
tight_T_seed3101,tight_T,P-GRB,C5-CANDIDATE,0.0,0.0,0.05362636706697072,0.05362636706697072,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,14.955199,295.00229549918214,280.04709649918215,0.017998630642933295,0.051891800302035586,1.0,1.0,0.0
tight_T_seed4101,tight_T,P-GRB,C5-CANDIDATE,0.0,0.0,0.3022442685314236,0.3022442685314236,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,9.7995102,295.0045954817444,285.2050852817444,0.3550401598095607,0.30130953624593143,1.0,1.0,0.0
tight_T_seed5102,tight_T,P-GRB,C5-CANDIDATE,0.0,0.0,0.20843292656852036,0.20843292656852036,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,17.3609709,295.0009101847412,277.6399392847412,0.2231112354103865,0.20790457135832874,1.0,1.0,0.0
tight_T_seed5103,tight_T,P-GRB,C5-CANDIDATE,0.0,0.0,0.14558766572211784,0.14558766572211784,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,28.7255088,295.0011746332428,266.2756658332428,0.14902676396079284,0.14525460808946583,1.0,1.0,0.0
tight_T_seed6102,tight_T,P-GRB,C5-CANDIDATE,0.0,0.0,0.5632890266694838,0.5632890266694838,0.0,0.0,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,90.7811086,295.0056115694824,204.22450296948244,0.5078590594045693,0.5045720243216241,1.0,1.0,0.0
