run_id,instance,family,arm,trace_complete,trace_reason,valid_bound_observation_count,auc_status
stage1__V12_M1__c0_diag__300s,V12_M1,v12,C0-DIAG,False,no_bound_component_at_row_561,0,auc_unavailable
stage1__V12_M1__c4_candidate__300s,V12_M1,v12,C4-CANDIDATE,True,complete_observed_trace,1145,observed
stage1__V12_M1__c5_candidate__300s,V12_M1,v12,C5-CANDIDATE,True,complete_observed_trace,583,observed
stage1__V12_M2__c0_diag__300s,V12_M2,v12,C0-DIAG,False,no_bound_component_at_row_633,0,auc_unavailable
stage1__V12_M2__c4_candidate__300s,V12_M2,v12,C4-CANDIDATE,True,complete_observed_trace,1534,observed
stage1__V12_M2__c5_candidate__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,high_imbalance,C0-DIAG,True,complete_observed_trace,297,observed
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,1239,observed
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,moderate,C0-DIAG,True,complete_observed_trace,150,observed
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,moderate,C4-CANDIDATE,True,complete_observed_trace,598,observed
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,moderate,C5-CANDIDATE,True,complete_observed_trace,533,observed
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,tight_T,C0-DIAG,True,complete_observed_trace,208,observed
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,tight_T,C4-CANDIDATE,True,complete_observed_trace,186,observed
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,tight_T,C0-DIAG,True,complete_observed_trace,154,observed
