source_stage,instance,family,V,M,arm,repetition,budget_seconds,return_code,emergency_timeout,status,verified_ub,common_verified_ub,valid_final_lb,common_ub_gap,strict_certificate,runtime_seconds,root_coverage_valid,parent_child_coverage_valid,all_relevant_leaves_closed,all_leaf_bounds_valid,global_bound_monotone,leaf_bounds_monotone,lifecycle_complete,failure_reason,run_id,run_path
stage4,V12_M2,v12,12,2,C5-CANDIDATE,1,300,0,False,optimal,0.7185040707549709,0.0,0.7185040707549704,0.0,True,228.0850896,True,True,True,True,True,True,True,none,stage4__V12_M2__c5_candidate__rep1__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__V12_M2__c5_candidate__rep1__300s
stage4,V12_M2,v12,12,2,C5-CANDIDATE,2,300,0,False,optimal,0.7185040707549709,0.0,0.7185040707549704,0.0,True,228.259772,True,True,True,True,True,True,True,none,stage4__V12_M2__c5_candidate__rep2__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__V12_M2__c5_candidate__rep2__300s
stage4,high_imbalance_seed3202,high_imbalance,20,3,C5-CANDIDATE,1,300,0,False,optimal,1.7493134520506337,0.0,1.749313452050631,0.0,True,210.6009248,True,True,True,True,True,True,True,none,stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__high_imbalance_seed3202__c5_candidate__rep1__300s
stage4,high_imbalance_seed3202,high_imbalance,20,3,C5-CANDIDATE,2,300,0,False,optimal,1.7493134520506337,0.0,1.749313452050631,0.0,True,210.4750927,True,True,True,True,True,True,True,none,stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__high_imbalance_seed3202__c5_candidate__rep2__300s
stage4,tight_T_seed3101,tight_T,20,3,C5-CANDIDATE,1,300,0,False,round30_c5_external_gini_tree_time_limit,0.10725273413394144,0.0,0.05362636706697072,0.0,False,295.0299041,True,True,False,True,True,True,True,overall_global_deadline,stage4__tight_T_seed3101__c5_candidate__rep1__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__tight_T_seed3101__c5_candidate__rep1__300s
stage4,tight_T_seed3101,tight_T,20,3,C5-CANDIDATE,2,300,0,False,round30_c5_external_gini_tree_time_limit,0.10725273413394144,0.0,0.05362636706697072,0.0,False,295.0274021,True,True,False,True,True,True,True,overall_global_deadline,stage4__tight_T_seed3101__c5_candidate__rep2__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__tight_T_seed3101__c5_candidate__rep2__300s
stage4,tight_T_seed5102,tight_T,20,3,C5-CANDIDATE,1,300,0,False,round30_c5_external_gini_tree_time_limit,0.3623546627845846,0.0,0.20843292656852036,0.0,False,295.0249115,True,True,False,True,True,True,True,overall_global_deadline,stage4__tight_T_seed5102__c5_candidate__rep1__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__tight_T_seed5102__c5_candidate__rep1__300s
stage4,tight_T_seed5102,tight_T,20,3,C5-CANDIDATE,2,300,0,False,round30_c5_external_gini_tree_time_limit,0.3623546627845846,0.0,0.20843292656852036,0.0,False,295.0252863,True,True,False,True,True,True,True,overall_global_deadline,stage4__tight_T_seed5102__c5_candidate__rep2__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__tight_T_seed5102__c5_candidate__rep2__300s
stage4,moderate_seed6301,moderate,50,3,C5-CANDIDATE,1,300,0,False,round30_c5_external_gini_tree_time_limit,0.6075292832179728,0.0,0.4949981501640891,0.0,False,295.0856927,True,True,False,True,True,True,True,overall_global_deadline,stage4__moderate_seed6301__c5_candidate__rep1__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__moderate_seed6301__c5_candidate__rep1__300s
stage4,moderate_seed6301,moderate,50,3,C5-CANDIDATE,2,300,0,False,round30_c5_external_gini_tree_time_limit,0.6075292832179728,0.0,0.4949981501640891,0.0,False,295.085471,True,True,False,True,True,True,True,overall_global_deadline,stage4__moderate_seed6301__c5_candidate__rep2__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage4__moderate_seed6301__c5_candidate__rep2__300s
