parent_id,parent_lp_bound,left_id,left_lp_bound,left_infeasible,right_id,right_lp_bound,right_infeasible,post_split_bound,tolerance,decision
L1,1.63629,L1.0,0,1,L1.1,1.66262,0,1.66262,1e-07,"child_lp_infeasible"
L2,1.58233,L2.0,1.58278,0,L2.1,1.68721,0,1.58278,1e-07,"strict_child_lp_bound_improvement"
L2.0,1.58278,L2.0.0,1.58838,0,L2.0.1,1.62783,0,1.58838,1e-07,"strict_child_lp_bound_improvement"
L2.0.0,1.58838,L2.0.0.0,1.59551,0,L2.0.0.1,1.60343,0,1.59551,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0,1.59551,L2.0.0.0.0,1.61997,0,L2.0.0.0.1,1.60156,0,1.60156,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1,1.60156,L2.0.0.0.1.0,1.60526,0,L2.0.0.0.1.1,1.60464,0,1.60464,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1,1.60343,L2.0.0.1.0,1.60477,0,L2.0.0.1.1,1.6133,0,1.60477,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1,1.60464,L2.0.0.0.1.1.0,1.60609,0,L2.0.0.0.1.1.1,1.60623,0,1.60609,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.0,1.60477,L2.0.0.1.0.0,1.60602,0,L2.0.0.1.0.1,1.60866,0,1.60602,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.0,1.60526,L2.0.0.0.1.0.0,1.60957,0,L2.0.0.0.1.0.1,1.60668,0,1.60668,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.0.0,1.60602,L2.0.0.1.0.0.0,1.60684,0,L2.0.0.1.0.0.1,1.60766,0,1.60684,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.0,1.60609,L2.0.0.0.1.1.0.0,1.60704,0,L2.0.0.0.1.1.0.1,1.60684,0,1.60684,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.1,1.60623,L2.0.0.0.1.1.1.0,1.6068,0,L2.0.0.0.1.1.1.1,1.60702,0,1.6068,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.0.1,1.60668,L2.0.0.0.1.0.1.0,1.60787,0,L2.0.0.0.1.0.1.1,1.60738,0,1.60738,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.1.0,1.6068,L2.0.0.0.1.1.1.0.0,1.60719,0,L2.0.0.0.1.1.1.0.1,1.60718,0,1.60718,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.0.1,1.60684,L2.0.0.0.1.1.0.1.0,1.60726,0,L2.0.0.0.1.1.0.1.1,1.60721,0,1.60721,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.0.0.0,1.60684,L2.0.0.1.0.0.0.0,1.60729,0,L2.0.0.1.0.0.0.1,1.60762,0,1.60729,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.1.1,1.60702,L2.0.0.0.1.1.1.1.0,1.60729,0,L2.0.0.0.1.1.1.1.1,1.60741,0,1.60729,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.1.0.0,1.60704,L2.0.0.0.1.1.0.0.0,1.60756,0,L2.0.0.0.1.1.0.0.1,1.60739,0,1.60739,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.1.0.0.0.0,1.60729,L2.0.0.1.0.0.0.0.0,1.60754,0,L2.0.0.1.0.0.0.0.1,1.60768,0,1.60754,1e-07,"strict_child_lp_bound_improvement"
L2.0.0.0.1.0.1.1,1.60738,L2.0.0.0.1.0.1.1.0,1.60793,0,L2.0.0.0.1.0.1.1.1,1.60774,0,1.60774,1e-07,"strict_child_lp_bound_improvement"
