vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,19,14,6,0,0,6,285.93086276158016,360.0,13
0,2,19,14,16,4,0,6,10,263.04566847518294,240.0,11
0,3,14,16,26,7,0,10,17,171.29783197719874,420.0,13
0,4,16,26,25,0,10,17,7,217.0400778238078,600.0,17
0,5,26,25,0,0,7,7,0,110.5933469970763,420.0,14
1,1,0,4,10,4,0,0,4,261.02545491539223,240.0,15
1,2,4,10,27,8,0,4,12,256.7531531170754,480.0,16
1,3,10,27,20,4,0,12,16,305.0482876895217,240.0,15
1,4,27,20,8,0,14,16,2,201.40094645009893,840.0,23
1,5,20,8,5,0,1,2,1,312.3310467404271,60.0,3
1,6,8,5,0,0,1,1,0,139.36658608132058,60.0,3
2,1,0,9,17,9,0,0,9,251.0020541260451,540.0,17
2,2,9,17,23,3,0,9,12,197.82307784616964,180.0,13
2,3,17,23,18,0,12,12,0,164.30155763249417,720.0,21
2,4,23,18,13,6,0,0,6,378.4884197289537,360.0,18
2,5,18,13,0,0,6,6,0,244.27159458318988,360.0,11
