source,instance_name,method,status,method_scope,solves_original_objective,is_bpc,certified_original_problem,verifier_passed,gap,unresolved_intervals,invalid_bound_intervals,open_nodes,sealed_run,no_archive_scanning,no_external_known_ub,no_focus_only_certificate,sealed_run_forbidden_source_used,finalization_source,audit_passed,failure_count,failures,warnings
results\oracle_bound_merge_round\raw\high_imbalance_seed3201.json,high_imbalance_seed3201.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.123531471571,3,0,1,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.127853923279,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1_d1_0.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_1_d1_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.121293179947,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.123531274469,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2_d1_0.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.128181233689,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_2_d1_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0745288176113,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.020529077685,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3_d1_0.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.021223447941,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3201_auto_oracle\interval_3_d1_1.json,high_imbalance_seed3201.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\high_imbalance_seed3202.json,high_imbalance_seed3202.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301.json,moderate_seed3301.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.0280667552335,2,0,9,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0539925603833,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_11.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_13.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_15.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_16.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_17.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0176577901186,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_1_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0280676099399,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0143097756599,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0139416006615,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_2_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_3.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_auto_oracle\interval_9.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke.json,moderate_seed3301.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.10492949776,2,0,1,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.104925392663,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.117805911205,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_1_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.064344100912,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0199523222412,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2_d1_0.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0310522635753,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_2_d1_1.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_3.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\moderate_seed3301_smoke_auto_oracle\interval_5.json,moderate_seed3301.txt,interval-cutoff-oracle,interval_closed,diagnostic,False,False,False,False,0.0,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3101.json,tight_T_seed3101.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102.json,tight_T_seed3102.txt,gcap-frontier,gcap_frontier_not_closed,original_bpc,True,True,False,True,0.250586342169,2,0,2,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.507555544233,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6_d1_0.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.502183842456,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_6_d1_1.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.434434301094,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.384011919203,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7_d1_0.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.366572617959,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\tight_T_seed3102_auto_oracle\interval_7_d1_1.json,tight_T_seed3102.txt,interval-cutoff-oracle,interval_unresolved_timeout,diagnostic,False,False,False,False,0.307074552975,0,0,0,False,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\v12_m1_600s.json,regen_candidate_V12_M1_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
results\oracle_bound_merge_round\raw\v12_m2_300s.json,regen_candidate_V12_M2_average.txt,gcap-frontier,optimal,original_bpc,True,True,True,True,0.0,0,0,0,True,True,True,True,False,solver_final_json,True,0,,
