interval_id,parent_id,depth,gamma_L,gamma_U,status,closed,split,children,time_limit_used,runtime_seconds,certificate_basis,solver_status
1_d1_0,1,1,0.0122881381662,0.0184322072493,interval_unresolved_timeout,false,false,0,600,600.0893012,interval_exact_cutoff_mip_timeout,time limit exceeded
1_d1_1,1,1,0.0184322072493,0.0245762763324,interval_unresolved_timeout,false,false,0,600,600.2803819,interval_exact_cutoff_mip_timeout,time limit exceeded
1,root,0,0.0122881381662,0.0245762763324,interval_unresolved_timeout,false,true,2,600,600.1417436,interval_exact_cutoff_mip_timeout,time limit exceeded
2_d1_0,2,1,0.0245762763324,0.0307203454155,interval_unresolved_timeout,false,false,0,600,600.5526577,interval_exact_cutoff_mip_timeout,time limit exceeded
2_d1_1,2,1,0.0307203454155,0.0368644144986,interval_unresolved_timeout,true,false,0,600,600.3875396,interval_exact_cutoff_mip_timeout,time limit exceeded
2,root,0,0.0245762763324,0.0368644144986,interval_unresolved_timeout,false,true,2,600,601.1264152,interval_exact_cutoff_mip_timeout,time limit exceeded
3,root,0,0.0368644144986,0.0491525526647,interval_unresolved_timeout,true,false,0,600,600.780858,interval_exact_cutoff_mip_timeout,time limit exceeded
9,root,0,0.0107521208954,0.0122881381662,interval_closed,true,false,0,600,2.2997024,interval_exact_cutoff_mip_infeasible,infeasible
11,root,0,0.00998411226003,0.0107521208954,interval_closed,true,false,0,600,2.4079449,interval_exact_cutoff_mip_infeasible,infeasible
13,root,0,0.00960010794233,0.00998411226003,interval_closed,true,false,0,600,2.2634821,interval_exact_cutoff_mip_infeasible,infeasible
15,root,0,0.00940810578349,0.00960010794233,interval_closed,true,false,0,600,2.7750969,interval_exact_cutoff_mip_infeasible,infeasible
16,root,0,0.00921610362464,0.00931210470406,interval_closed,true,false,0,600,1.774032,interval_exact_cutoff_mip_infeasible,infeasible
17,root,0,0.00931210470406,0.00940810578349,interval_closed,true,false,0,600,2.9744336,interval_exact_cutoff_mip_infeasible,infeasible
