row,mode,lower_bound,gap,oracle_bound_merged_leaves
moderate_seed3301,objective_bound_merge_600s_depth1,0.047773,0.0280667552335,9
moderate_seed3301_smoke,objective_bound_merge_5s_depth1,0.043995,0.10492949776,4
