row,result_json,status,final_json_present
moderate_seed3301,results\oracle_bound_merge_round\raw\moderate_seed3301.json,gcap_frontier_not_closed,true
tight_T_seed3102,results\oracle_bound_merge_round\raw\tight_T_seed3102.json,gcap_frontier_not_closed,true
high_imbalance_seed3201,results\oracle_bound_merge_round\raw\high_imbalance_seed3201.json,gcap_frontier_not_closed,true
v12_m2_300s,results\oracle_bound_merge_round\raw\v12_m2_300s.json,optimal,true
v12_m1_600s,results\oracle_bound_merge_round\raw\v12_m1_600s.json,optimal,true
high_imbalance_seed3202,results\oracle_bound_merge_round\raw\high_imbalance_seed3202.json,optimal,true
tight_T_seed3101,results\oracle_bound_merge_round\raw\tight_T_seed3101.json,optimal,true
v4_smoke,,skipped_input_missing,false
