station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,6,11,9
2,21,13,21
3,5,12,12
4,7,13,10
5,6,13,13
6,20,11,20
7,22,12,18
8,5,12,5
9,21,12,18
10,8,16,16
11,17,10,17
12,6,11,6
13,18,11,18
14,6,13,6
15,23,13,13
16,19,11,19
17,22,13,15
18,6,10,6
19,6,11,6
20,19,12,19
21,35,21,21
22,21,13,21
23,6,11,6
24,5,10,5
25,27,16,23
26,5,10,5
27,8,14,14
28,23,13,16
29,5,13,11
30,26,15,26
31,19,11,18
32,7,13,7
33,6,10,6
34,7,13,11
35,6,13,10
36,6,10,6
37,5,10,5
38,19,11,19
39,7,11,7
40,18,11,18
41,17,10,17
42,25,15,19
43,24,15,24
44,23,14,14
45,7,16,16
46,24,14,24
47,7,15,15
48,22,12,22
49,19,10,19
50,7,14,7
