variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
baseline_300_moderate_seed3301,300,2,0,aggregate,1,1,0
baseline_300_moderate_seed3301,300,2,0,aggregate,2,12,0
baseline_300_moderate_seed3301,300,2,0,aggregate,3,32,54
baseline_300_moderate_seed3301,300,2,0,aggregate,4,160,54
baseline_300_moderate_seed3301,300,2,0,aggregate,5,603,155
baseline_300_moderate_seed3301,300,2,0,aggregate,6,5619,1351
baseline_300_moderate_seed3301,300,2,0,aggregate,7,55909,11381
baseline_300_moderate_seed3301,300,2,0,aggregate,8,386581,70030
baseline_300_moderate_seed3301,300,2,0,aggregate,9,1926262,323225
baseline_300_moderate_seed3301,300,2,0,aggregate,10,7130274,1141551
baseline_300_moderate_seed3301,300,2,0,aggregate,11,20238458,3116820
baseline_300_moderate_seed3301,300,2,0,aggregate,12,45078777,6698178
baseline_300_moderate_seed3301,300,2,0,aggregate,13,80671309,11569739
baseline_300_moderate_seed3301,300,2,0,aggregate,14,117622151,16483533
baseline_300_moderate_seed3301,300,2,0,aggregate,15,141639437,19871065
baseline_300_moderate_seed3301,300,2,0,aggregate,16,142390933,20120303
baseline_300_moderate_seed3301,300,2,0,aggregate,17,116485068,15980993
baseline_300_moderate_seed3301,300,2,0,aggregate,18,70355886,8785526
baseline_300_moderate_seed3301,300,2,0,aggregate,19,27026103,2833029
baseline_300_moderate_seed3301,300,2,0,aggregate,20,4801623,383676
