variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,labels_generated,labels_kept,labels_expanded,pruned_duration,pruned_load,pruned_station,pruned_support,pruned_reduced_cost,pruned_dominance,duplicate_states,operation_states_generated,operation_states_pruned,columns_generated,negative_columns_found,best_reduced_cost
baseline_300_moderate_seed3301,300,2,0,aggregate,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0.00299079892788
baseline_300_moderate_seed3301,300,2,0,aggregate,2,1,0,1,0,0,0,0,0,0,0,12,0,1,0,0.00289622821079
baseline_300_moderate_seed3301,300,2,0,aggregate,3,1,0,1,0,0,0,0,0,0,0,32,54,1,1,-0.0431597110106
baseline_300_moderate_seed3301,300,2,0,aggregate,4,1,0,1,0,0,0,0,0,0,0,160,54,1,1,-0.0329390222398
baseline_300_moderate_seed3301,300,2,0,aggregate,5,3,0,3,0,0,0,0,0,0,0,603,155,3,3,-0.0305150254387
baseline_300_moderate_seed3301,300,2,0,aggregate,6,35,0,35,0,0,0,0,0,0,0,5619,1351,35,35,-0.029884295291
baseline_300_moderate_seed3301,300,2,0,aggregate,7,489,0,489,0,0,0,0,0,0,0,55909,11381,442,442,-0.0426368759716
baseline_300_moderate_seed3301,300,2,0,aggregate,8,6038,0,6038,318,0,0,0,0,0,0,386581,70030,3361,3302,-0.0402128791705
baseline_300_moderate_seed3301,300,2,0,aggregate,9,53314,0,53314,19136,0,0,0,0,0,0,1926262,323225,10806,10806,-0.0386721645713
baseline_300_moderate_seed3301,300,2,0,aggregate,10,329515,0,329515,256932,0,0,0,0,0,0,7130274,1141551,35559,35456,-0.0316026826771
baseline_300_moderate_seed3301,300,2,0,aggregate,11,1471924,0,1471924,1823223,0,0,0,0,0,0,20238458,3116820,52572,52572,-0.0300619680779
baseline_300_moderate_seed3301,300,2,0,aggregate,12,4809351,0,4809351,8437958,0,0,0,0,0,0,45078777,6698178,80069,80027,-0.0279735314089
baseline_300_moderate_seed3301,300,2,0,aggregate,13,11632137,0,11632137,26842668,0,0,0,0,0,0,80671309,11569739,11267,11267,-0.0266140773508
baseline_300_moderate_seed3301,300,2,0,aggregate,14,21637230,0,21637230,59787725,0,0,0,0,0,0,117622151,16483533,9275,9275,-0.0250733627515
baseline_300_moderate_seed3301,300,2,0,aggregate,15,32082525,0,32082525,97740854,0,0,0,0,0,0,141639437,19871065,1623,1623,-0.0201793281423
baseline_300_moderate_seed3301,300,2,0,aggregate,16,37356416,0,37356416,123056205,0,0,0,0,0,0,142390933,20120303,0,0,
baseline_300_moderate_seed3301,300,2,0,aggregate,17,32708246,0,32708246,116717415,0,0,0,0,0,0,116485068,15980993,0,0,
baseline_300_moderate_seed3301,300,2,0,aggregate,18,20823810,0,20823810,77300928,0,0,0,0,0,0,70355886,8785526,0,0,
baseline_300_moderate_seed3301,300,2,0,aggregate,19,9013266,0,9013266,32634354,0,0,0,0,0,0,27026103,2833029,0,0,
baseline_300_moderate_seed3301,300,2,0,aggregate,20,2020793,0,2020793,6992473,0,0,0,0,0,0,4801623,383676,0,0,
