run_id,instance,arm,budget_seconds,pending_attachments,post_relaxations_observed,passed_in_relaxation_context,passed_in_branching_context,still_open_unprocessed,failures,mean_lift
gate__high_imbalance_seed3202__baseline__presolve_off__30s,high_imbalance_seed3202,baseline,30,19,19,19,0,0,0,0.01529191219628832
gate__high_imbalance_seed3202__baseline__presolve_on__30s,high_imbalance_seed3202,baseline,30,17,17,17,0,0,0,0.01684012676674115
gate__moderate_seed3302__baseline__presolve_off__30s,moderate_seed3302,baseline,30,18,18,18,0,0,0,0.005330412659943183
gate__moderate_seed3302__baseline__presolve_on__30s,moderate_seed3302,baseline,30,19,19,19,0,0,0,0.0034091653343752523
gate__tight_T_seed3101__baseline__presolve_off__30s,tight_T_seed3101,baseline,30,17,17,17,0,0,0,0.0013401826605161783
gate__tight_T_seed3101__baseline__presolve_on__30s,tight_T_seed3101,baseline,30,32,32,32,0,0,0,0.0007141066249962513
gate__tight_T_seed3102__baseline__presolve_off__30s,tight_T_seed3102,baseline,30,19,18,18,0,1,0,0.006485921017134849
gate__tight_T_seed3102__baseline__presolve_on__30s,tight_T_seed3102,baseline,30,18,17,17,0,1,0,0.006662075787087862
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,30,232,228,176,52,4,0,0.0004994049426555492
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,30,239,238,186,52,1,0,0.0004246880764752807
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,30,95,92,92,0,3,0,0.0014396642226533897
gate__V12_M2__baseline__presolve_on__30s,V12_M2,baseline,30,120,116,109,7,4,0,0.001144364611318184
mechanism_gate__tight_T_seed3101__root_flow_only__30s,tight_T_seed3101,root_flow_only,30,19,17,14,3,2,0,0.0016536676147838702
mip_gate__high_imbalance_seed3202__mip_start_only__30s,high_imbalance_seed3202,mip_start_only,30,17,17,17,0,0,0,0.01684012676674115
mip_gate__moderate_seed3302__mip_start_only__30s,moderate_seed3302,mip_start_only,30,21,20,20,0,1,0,0.004693743995273975
mip_gate__tight_T_seed3101__mip_start_only__30s,tight_T_seed3101,mip_start_only,30,32,32,32,0,0,0,0.0007141066249962513
mip_gate__tight_T_seed3102__mip_start_only__30s,tight_T_seed3102,mip_start_only,30,19,18,18,0,1,0,0.006603694302080024
mip_gate__V12_M1__mip_start_only__30s,V12_M1,mip_start_only,30,274,272,209,63,2,0,0.00041780914122807903
mip_gate__V12_M2__mip_start_only__30s,V12_M2,mip_start_only,30,117,113,107,6,4,0,0.001151313429292376
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,root_flow_only,300,109,108,73,35,1,0,0.0012129627319799113
optional__moderate_seed3302__root_flow_only__300s,moderate_seed3302,root_flow_only,300,175,174,174,0,1,0,0.0010871224919102877
optional__tight_T_seed3101__root_flow_only__300s,tight_T_seed3101,root_flow_only,300,165,163,145,18,2,0,0.00023968886827064047
optional__V12_M2__root_flow_only__300s,V12_M2,root_flow_only,300,249,246,223,23,3,0,0.0006781273649622243
stage1__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,300,108,106,77,29,2,0,0.0043291821657596005
stage1__high_imbalance_seed3202__factory_delta__300s,high_imbalance_seed3202,factory_delta,300,90,88,67,21,2,0,0.005174980998310586
stage1__high_imbalance_seed3202__factory_full__300s,high_imbalance_seed3202,factory_full,300,108,106,77,29,2,0,0.0043291821657596005
stage1__high_imbalance_seed3202__parent_delta__300s,high_imbalance_seed3202,parent_delta,300,90,88,67,21,2,0,0.005174980998310586
stage1__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,300,158,158,149,9,0,0,0.0007196903699194149
stage1__moderate_seed3302__factory_delta__300s,moderate_seed3302,factory_delta,300,176,176,167,9,0,0,0.0007049559486771352
stage1__moderate_seed3302__factory_full__300s,moderate_seed3302,factory_full,300,158,158,149,9,0,0,0.0007196903699194149
stage1__moderate_seed3302__parent_delta__300s,moderate_seed3302,parent_delta,300,176,176,167,9,0,0,0.0007049559486771352
stage1__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,300,115,115,115,0,0,0,0.000281186115260984
stage1__tight_T_seed3101__factory_delta__300s,tight_T_seed3101,factory_delta,300,180,180,179,1,0,0,0.00020392646541290987
stage1__tight_T_seed3101__factory_full__300s,tight_T_seed3101,factory_full,300,184,184,181,3,0,0,0.00019846592593059936
stage1__tight_T_seed3101__parent_delta__300s,tight_T_seed3101,parent_delta,300,143,143,140,3,0,0,0.00022635860756739526
stage1__V12_M2__baseline__300s,V12_M2,baseline,300,284,280,219,61,4,0,0.0005216037890775079
stage1__V12_M2__factory_delta__300s,V12_M2,factory_delta,300,277,273,210,63,4,0,0.0005335585407959278
stage1__V12_M2__factory_full__300s,V12_M2,factory_full,300,284,280,219,61,4,0,0.0005216037890775079
stage1__V12_M2__parent_delta__300s,V12_M2,parent_delta,300,277,273,210,63,4,0,0.0005335585407959278
stage2__high_imbalance_seed3201__baseline__900s,high_imbalance_seed3201,baseline,900,146,145,109,36,1,0,0.0029290897252274035
stage2__high_imbalance_seed3201__root_flow_only__900s,high_imbalance_seed3201,root_flow_only,900,164,162,131,31,2,0,0.0022216690503475663
stage2__high_imbalance_seed3202__baseline__900s,high_imbalance_seed3202,baseline,900,137,135,92,43,2,0,0.003801902774385378
stage2__high_imbalance_seed3202__root_flow_only__900s,high_imbalance_seed3202,root_flow_only,900,165,163,101,62,2,0,0.0010711524338053988
stage2__moderate_seed3301__baseline__900s,moderate_seed3301,baseline,900,315,312,312,0,3,0,0.00018324293814476816
stage2__moderate_seed3301__root_flow_only__900s,moderate_seed3301,root_flow_only,900,251,247,247,0,4,0,0.00021732755018102142
stage2__moderate_seed3302__baseline__900s,moderate_seed3302,baseline,900,158,158,149,9,0,0,0.0007196903699194149
stage2__moderate_seed3302__root_flow_only__900s,moderate_seed3302,root_flow_only,900,256,255,255,0,1,0,0.0008340656668787409
stage2__tight_T_seed3101__baseline__900s,tight_T_seed3101,baseline,900,144,144,140,4,0,0,0.00022483426750829474
stage2__tight_T_seed3101__root_flow_only__900s,tight_T_seed3101,root_flow_only,900,228,226,208,18,2,0,0.00019398529333645697
stage2__tight_T_seed3102__baseline__900s,tight_T_seed3102,baseline,900,109,108,108,0,1,0,0.001339461975579723
stage2__tight_T_seed3102__root_flow_only__900s,tight_T_seed3102,root_flow_only,900,210,206,194,12,4,0,0.0008675105969267248
stage2__V12_M1__baseline__900s,V12_M1,baseline,900,452,450,294,156,2,0,0.00025184235996946673
stage2__V12_M1__root_flow_only__900s,V12_M1,root_flow_only,900,440,438,282,156,2,0,0.00022258606053104492
stage2__V12_M2__baseline__900s,V12_M2,baseline,900,293,289,223,66,4,0,0.0005059490789043803
stage2__V12_M2__root_flow_only__900s,V12_M2,root_flow_only,900,273,269,234,35,4,0,0.0006240624341446007
stage3__high_imbalance_seed3202__root_flow_only__1800s,high_imbalance_seed3202,root_flow_only,1800,225,223,132,91,2,0,0.0008934183174126941
stage3__moderate_seed3302__root_flow_only__1800s,moderate_seed3302,root_flow_only,1800,310,309,309,0,1,0,0.0007251861858975447
stage3__tight_T_seed3101__root_flow_only__1800s,tight_T_seed3101,root_flow_only,1800,319,313,295,18,6,0,0.0001698954867439114
stage3__tight_T_seed3102__root_flow_only__1800s,tight_T_seed3102,root_flow_only,1800,220,216,200,16,4,0,0.0008288641626874991
