run_id,instance,instance_class,arm,budget_seconds,status,objective,LB,UB,gap,certified,verifier_passed,nodes,open_nodes,simplex_iterations,gini_branches,ordinary_branches,rows_attached,rows_avoided,equal_siblings,discriminated_siblings,row_factory_seconds,callback_packing_seconds,row_api_seconds,native_solution_count,native_cut_counts,mip_start_accepted,root_connectivity_flow,first_gini_branch_time,callback_abort,lifecycle_valid,fresh_run
optional__high_imbalance_seed3202__root_flow_only__300s,high_imbalance_seed3202,control,root_flow_only,300,global_gini_tree_time_limit,1.74931345205,1.68543500048,1.74931345205,0.0365162981504,False,True,2820,1532,1199331,67,2114,154344,0.0,67,0,3.2039026,3.6482516,0.1064047,0,cover=16|gub_cover=2|flow_cover=189|clique=1|fractional=1|mir=33|flow_path=0|disjunctive=0|implied_bound=517|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,True,6.9606444,False,True,True
optional__moderate_seed3302__root_flow_only__300s,moderate_seed3302,hard,root_flow_only,300,global_gini_tree_time_limit,0.195636206549,0.141696069237,0.195636206549,0.275716536646,False,True,2518,1563,1155958,109,1935,248675,0.0,109,0,5.7097961,6.4364726,0.1597898,0,cover=2|gub_cover=9|flow_cover=154|clique=0|fractional=5|mir=35|flow_path=0|disjunctive=0|implied_bound=238|zero_half=16|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,True,6.4448935,False,True,True
optional__tight_T_seed3101__root_flow_only__300s,tight_T_seed3101,control,root_flow_only,300,global_gini_tree_time_limit,0.107252734134,0.0370958735592,0.107252734134,0.654126546435,False,True,4239,1641,1373603,99,2841,237933,0.0,99,0,5.2800431,5.963708,0.1510658,0,cover=6|gub_cover=6|flow_cover=213|clique=0|fractional=1|mir=39|flow_path=0|disjunctive=0|implied_bound=309|zero_half=18|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,True,5.9249769,False,True,True
optional__V12_M2__root_flow_only__300s,V12_M2,control,root_flow_only,300,global_gini_tree_time_limit,0.718504070755,0.708455423548,0.718504070755,0.0139855118662,False,True,23169,5886,2477490,129,14411,161103,0.0,129,0,2.1034824,2.3981745,0.0379259,0,cover=22|gub_cover=4|flow_cover=139|clique=17|fractional=2|mir=32|flow_path=0|disjunctive=0|implied_bound=399|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,True,3.4495368,False,True,True
stage1__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,control,baseline,300,global_gini_tree_time_limit,1.74931345205,1.61207621532,1.74931345205,0.0784520559021,False,True,3520,2269,1088504,69,2829,152928,0.0,69,0,3.1920818,3.6376533,0.0516049,0,cover=27|gub_cover=0|flow_cover=20|clique=1|fractional=3|mir=30|flow_path=0|disjunctive=0|implied_bound=417|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.1994477,False,True,True
stage1__high_imbalance_seed3202__factory_delta__300s,high_imbalance_seed3202,control,factory_delta,300,global_gini_tree_time_limit,1.74931345205,1.60641852032,1.74931345205,0.0816862933094,False,True,3451,2152,981294,64,2746,66600,60840.0,64,0,2.8908043,3.5577473,0.0229363,0,cover=14|gub_cover=0|flow_cover=19|clique=1|fractional=3|mir=29|flow_path=0|disjunctive=0|implied_bound=393|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.212916,False,True,True
stage1__high_imbalance_seed3202__factory_full__300s,high_imbalance_seed3202,control,factory_full,300,global_gini_tree_time_limit,1.74931345205,1.61207077551,1.74931345205,0.0784551655829,False,True,3500,2259,1077584,69,2814,152928,0.0,69,0,3.2277293,3.6776542,0.0513788,0,cover=27|gub_cover=0|flow_cover=19|clique=1|fractional=3|mir=30|flow_path=0|disjunctive=0|implied_bound=416|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.2128891,False,True,True
stage1__high_imbalance_seed3202__parent_delta__300s,high_imbalance_seed3202,control,parent_delta,300,global_gini_tree_time_limit,1.74931345205,1.60644536496,1.74931345205,0.0816709474921,False,True,3467,2158,991517,64,2757,66600,60840.0,64,0,2.8373439,3.4948166,0.024061,0,cover=14|gub_cover=0|flow_cover=19|clique=1|fractional=3|mir=29|flow_path=0|disjunctive=0|implied_bound=393|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=1|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,3.2177547,False,True,True
stage1__moderate_seed3302__baseline__300s,moderate_seed3302,hard,baseline,300,global_gini_tree_time_limit,0.195636206549,0.139454501751,0.195636206549,0.287174372216,False,True,3796,2732,1068621,116,3153,224518,0.0,116,0,5.6535242,6.3514078,0.0751384,0,cover=2|gub_cover=0|flow_cover=6|clique=0|fractional=0|mir=25|flow_path=0|disjunctive=0|implied_bound=711|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,2.2662827,False,True,True
stage1__moderate_seed3302__factory_delta__300s,moderate_seed3302,hard,factory_delta,300,global_gini_tree_time_limit,0.195636206549,0.139550867793,0.195636206549,0.286681794465,False,True,5624,4334,1092791,126,4857,139906,110190.0,126,0,6.2480452,7.572285,0.0484659,0,cover=14|gub_cover=0|flow_cover=6|clique=0|fractional=0|mir=30|flow_path=0|disjunctive=0|implied_bound=821|zero_half=23|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,False,False,2.2626385,False,True,True
