instance,interval_id,gamma_L,gamma_U,formulation,log_status,log_path,log_sha256,presolve_eliminated_rows,presolve_eliminated_columns,presolve_substitutions,presolve_coefficient_changes,presolved_rows,presolved_columns,presolved_nonzeros,root_uncut_relaxation,post_root_cut_relaxation,time_limited_best_bound,native_cuts_by_type,max_native_tree_memory_mb,solver_best_bound,validity_status,run_id,child_uid,parent_uid,parent_relaxation,child_estimate,domain_estimate,estimate_lift,estimate_mode,pre_local_row_relaxation,post_local_row_relaxation,post_row_status,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,delta_rows_attached,delta_bounds_attached,row_families,row_family_signature,matched_standalone_uncut_relaxation,matched_child_relaxation,domain_component_below_standalone_relaxation,inherited_estimate_below_reoptimized_child,standalone_comparability_note
tight_T_seed3101,0,0.0,0.02681318353348536,A_inventory_route_gini_relaxation,present,results/gf_global_gini_tree_regression_round/diagnostic_models/matched_interval/tight_T_seed3101/interval_0/A_legacy_relaxation/legacy_relaxation.log,89d84a7375a1aca55628cf811166383507f881d2e9192d922f8a9191897b46fb,18205,78,84,30312,5961,2871,45235,0.0049,0.0187,,GUB cover cuts=1|Implied bound cuts=122|Flow cuts=77|Mixed integer rounding cuts=20|Zero-half cuts=8|Gomory fractional cuts=9,0.01,,passed,,,,,,,,,,,,,,,,,,,,,,,,,
tight_T_seed3101,0,0.0,0.02681318353348536,B_factory_preloaded_fixed_interval,present,results/gf_global_gini_tree_regression_round/diagnostic_models/matched_interval/tight_T_seed3101/interval_0/B_factory_preloaded/fixed_interval_factory.log,e9d88a610263763563b95f459f800ae6ce5d4f27f21ce3769c41cc4d102ae8ae,1762,95,40,36185,8768,1987,54195,0.0023,0.0099,,Cover cuts=1|Implied bound cuts=266|Flow cuts=19|Mixed integer rounding cuts=28|Zero-half cuts=34|Lift and project cuts=4|Gomory fractional cuts=8,0.74,1e+75,passed,,,,,,,,,,,,,,,,,,,,,,,,,
tight_T_seed3101,0,0.0,0.02681318353348536,C_global_root_deferred_child,,,,,,,,,,,,,,,,,passed,forensic__tight_T_seed3101__baseline__300s,3,1,0.0077378492799194728,0.0077378492799194728,0,0,parent-copy,0.0077378492799194849,0.007933148806819593,passed,1442,42,0,0,0,1442,41,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|penalty_lower_bound_closure|required_station_movement|sp_product_mccormick|sp_product_objective_estimator_paper_safe|variable_s_low_gini_centering,f5c84b9e4a9e8597,,,,,
tight_T_seed3101,0,0.0,0.02681318353348536,D_eager_branch_child,,,,,,,,,,,,,,,,,passed,eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,3,1,0.0080496205863427525,0.0080496205863427525,0,0,parent-copy,,,not_observed,1442,42,0,0,0,1442,41,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|penalty_lower_bound_closure|required_station_movement|sp_product_mccormick|sp_product_objective_estimator_paper_safe|variable_s_low_gini_centering,f5c84b9e4a9e8597,,,,,
tight_T_seed3101,0,0.0,0.02681318353348536,global_child_estimate,,,,,,,,,,,,,,,,,passed,forensic__tight_T_seed3101__baseline__300s,,,,0.0077378492799194728,0,,,,,,,,,,,,,,,0.0023,0.007933148806819593,True,True,final inherited estimate is not compared with an uncut standalone LP that omits the parent's native cuts
high_imbalance_seed3202,0,0.0,0.2375,A_inventory_route_gini_relaxation,present,results/gf_global_gini_tree_regression_round/diagnostic_models/matched_interval/high_imbalance_seed3202/interval_0/A_legacy_relaxation/legacy_relaxation.log,2a93cce6a33bcfd9dd1bafc16ae495481c428859f48d75401b87f8698ec35679,17970,75,155,32079,6126,2803,46455,,,,,,,passed,,,,,,,,,,,,,,,,,,,,,,,,,
high_imbalance_seed3202,0,0.0,0.2375,B_factory_preloaded_fixed_interval,present,results/gf_global_gini_tree_regression_round/diagnostic_models/matched_interval/high_imbalance_seed3202/interval_0/B_factory_preloaded/fixed_interval_factory.log,b628353310627c78f3373ad2991d99b75ab68664aa6c5e24d437b6b67370f96f,2157,27,46,30507,8318,2037,47307,,,,,,1e+75,passed,,,,,,,,,,,,,,,,,,,,,,,,,
high_imbalance_seed3202,0,0.0,0.2375,C_global_root_deferred_child,,,,,,,,,,,,,,,,,passed,forensic__high_imbalance_seed3202__baseline__300s,3,1,1.6038245411468228,1.6038245411468228,0.58921478404014316,0,parent-copy,,,not_observed,,,,,,,,,,,,,,
high_imbalance_seed3202,0,0.0,0.2375,D_eager_branch_child,,,,,,,,,,,,,,,,,passed,eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,3,1,1.5970802333811496,1.5970802333811496,0.58921478404014316,0,parent-copy,,,not_observed,1416,42,0,0,0,1416,41,direct_gini_cap|direct_gini_floor|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|penalty_lower_bound_closure|required_station_movement|sp_product_mccormick|sp_product_objective_estimator_paper_safe|variable_s_low_gini_centering,db28ee2d2d2ed7c3,,,,,
V12_M2,4,0.35925203537748546,0.4490650442218568,A_inventory_route_gini_relaxation,present,results/gf_global_gini_tree_regression_round/diagnostic_models/matched_interval/V12_M2/interval_4/A_legacy_relaxation/legacy_relaxation.log,26b4d6c197391b72a966b54d777748b40f8e05c813228162704f6d384cee8752,360,24,44,5460,4580,781,51218,0.5718,0.5896,,Implied bound cuts=69|Flow cuts=49|Mixed integer rounding cuts=15|Zero-half cuts=1|Gomory fractional cuts=2,0.01,,passed,,,,,,,,,,,,,,,,,,,,,,,,,
