run_id,instance,arm,budget_seconds,time_to_gap_20pct,time_to_gap_10pct,time_to_gap_5pct,time_to_gap_1pct,time_to_gap_0
stage1__high_imbalance_seed3202__factory_full__300s,high_imbalance_seed3202,factory_full,300,300.02223890000005,300.02223890000005,nan,nan,nan
stage1__high_imbalance_seed3202__parent_delta__300s,high_imbalance_seed3202,parent_delta,300,300.01267900000005,300.01267900000005,nan,nan,nan
stage1__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,300,nan,nan,nan,nan,nan
stage1__moderate_seed3302__factory_delta__300s,moderate_seed3302,factory_delta,300,nan,nan,nan,nan,nan
stage1__moderate_seed3302__factory_full__300s,moderate_seed3302,factory_full,300,nan,nan,nan,nan,nan
stage1__moderate_seed3302__parent_delta__300s,moderate_seed3302,parent_delta,300,nan,nan,nan,nan,nan
stage1__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,300,nan,nan,nan,nan,nan
stage1__tight_T_seed3101__factory_delta__300s,tight_T_seed3101,factory_delta,300,nan,nan,nan,nan,nan
stage1__tight_T_seed3101__factory_full__300s,tight_T_seed3101,factory_full,300,nan,nan,nan,nan,nan
stage1__tight_T_seed3101__parent_delta__300s,tight_T_seed3101,parent_delta,300,nan,nan,nan,nan,nan
stage1__V12_M2__baseline__300s,V12_M2,baseline,300,300.00398060000003,300.00398060000003,300.00398060000003,300.00398060000003,nan
stage1__V12_M2__factory_delta__300s,V12_M2,factory_delta,300,300.0131827,300.0131827,300.0131827,300.0131827,nan
stage1__V12_M2__factory_full__300s,V12_M2,factory_full,300,300.0025316,300.0025316,300.0025316,300.0025316,nan
stage1__V12_M2__parent_delta__300s,V12_M2,parent_delta,300,300.01149119999997,300.01149119999997,300.01149119999997,300.01149119999997,nan
stage2__high_imbalance_seed3201__baseline__900s,high_imbalance_seed3201,baseline,900,23.862008399999947,900.013079,nan,nan,nan
stage2__high_imbalance_seed3201__plain__900s,high_imbalance_seed3201,plain,900,nan,nan,nan,nan,nan
stage2__high_imbalance_seed3201__root_flow_only__900s,high_imbalance_seed3201,root_flow_only,900,26.63006810000003,900.0252808,900.0252808,nan,nan
stage2__high_imbalance_seed3202__baseline__900s,high_imbalance_seed3202,baseline,900,900.0233774999999,900.0233774999999,nan,nan,nan
stage2__high_imbalance_seed3202__plain__900s,high_imbalance_seed3202,plain,900,nan,nan,nan,nan,nan
stage2__high_imbalance_seed3202__root_flow_only__900s,high_imbalance_seed3202,root_flow_only,900,26.880765900000007,900.0318627,900.0318627,nan,nan
stage2__moderate_seed3301__baseline__900s,moderate_seed3301,baseline,900,900.0232636000001,900.0232636000001,nan,nan,nan
stage2__moderate_seed3301__plain__900s,moderate_seed3301,plain,900,nan,nan,nan,nan,nan
stage2__moderate_seed3301__root_flow_only__900s,moderate_seed3301,root_flow_only,900,900.0178306,900.0178306,nan,nan,nan
stage2__moderate_seed3302__baseline__900s,moderate_seed3302,baseline,900,nan,nan,nan,nan,nan
stage2__moderate_seed3302__plain__900s,moderate_seed3302,plain,900,nan,nan,nan,nan,nan
stage2__moderate_seed3302__root_flow_only__900s,moderate_seed3302,root_flow_only,900,nan,nan,nan,nan,nan
stage2__tight_T_seed3101__baseline__900s,tight_T_seed3101,baseline,900,nan,nan,nan,nan,nan
stage2__tight_T_seed3101__plain__900s,tight_T_seed3101,plain,900,nan,nan,nan,nan,nan
stage2__tight_T_seed3101__root_flow_only__900s,tight_T_seed3101,root_flow_only,900,nan,nan,nan,nan,nan
stage2__tight_T_seed3102__baseline__900s,tight_T_seed3102,baseline,900,900.0296938,nan,nan,nan,nan
stage2__tight_T_seed3102__plain__900s,tight_T_seed3102,plain,900,nan,nan,nan,nan,nan
stage2__tight_T_seed3102__root_flow_only__900s,tight_T_seed3102,root_flow_only,900,900.0153260000001,900.0153260000001,nan,nan,nan
stage2__V12_M1__baseline__900s,V12_M1,baseline,900,113.48025849999995,113.48025849999995,113.48025849999995,113.48025849999995,nan
stage2__V12_M1__plain__900s,V12_M1,plain,900,nan,nan,nan,nan,nan
stage2__V12_M1__root_flow_only__900s,V12_M1,root_flow_only,900,95.28851539999995,95.28851539999995,95.28851539999995,95.28851539999995,nan
stage2__V12_M2__baseline__900s,V12_M2,baseline,900,446.16514000000006,446.16514000000006,446.16514000000006,446.16514000000006,447.5390656000001
stage2__V12_M2__plain__900s,V12_M2,plain,900,nan,nan,nan,nan,nan
stage2__V12_M2__root_flow_only__900s,V12_M2,root_flow_only,900,456.8925818999999,456.8925818999999,456.8925818999999,456.8925818999999,nan
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,1800,nan,nan,nan,nan,nan
stage3__high_imbalance_seed3202__root_flow_only__1800s,high_imbalance_seed3202,root_flow_only,1800,26.902483400000065,1800.120633,1800.120633,1800.120633,nan
stage3__moderate_seed3302__plain__1800s,moderate_seed3302,plain,1800,nan,nan,nan,nan,nan
stage3__moderate_seed3302__root_flow_only__1800s,moderate_seed3302,root_flow_only,1800,nan,nan,nan,nan,nan
stage3__tight_T_seed3101__plain__1800s,tight_T_seed3101,plain,1800,nan,nan,nan,nan,nan
stage3__tight_T_seed3101__root_flow_only__1800s,tight_T_seed3101,root_flow_only,1800,nan,nan,nan,nan,nan
stage3__tight_T_seed3102__plain__1800s,tight_T_seed3102,plain,1800,nan,nan,nan,nan,nan
stage3__tight_T_seed3102__root_flow_only__1800s,tight_T_seed3102,root_flow_only,1800,1800.0330552,1800.0330552,nan,nan,nan
