run_id,instance,arm,elapsed_seconds,native_tree_memory_mb,rows_attached_final,rows_avoided_final
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,3.23,0.01,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,5.89,1.16,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,12.44,5.1,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,16.64,16.09,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,21.67,25.04,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,26.03,40.16,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,31.08,49.4,127440,0.0
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,36.34,59.22,127440,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,2.28,0.01,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,6.59,2.38,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,14.56,4.72,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,19.44,15.55,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,25.92,23.62,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,31.45,31.26,201785,0.0
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,37.39,37.54,201785,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,1.95,0.01,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,4.77,1.77,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,9.61,10.64,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,14.53,26.03,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,19.59,44.43,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,24.38,63.35,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,28.84,81.2,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,33.44,100.96,155739,0.0
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,38.17,115.36,155739,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,1.75,0.01,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,4.01,1.12,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,8.33,2.23,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,12.86,15.27,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,17.11,39.69,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,21.88,61.77,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,26.38,80.71,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,30.69,100.99,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,35.36,114.08,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,39.62,130.65,131988,0.0
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,45.22,147.46,131988,0.0
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,high_imbalance_seed3202,eager_only,4.34,0.01,48144,0.0
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,high_imbalance_seed3202,eager_only,9.33,1.96,48144,0.0
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,high_imbalance_seed3202,eager_only,3.31,0.01,48144,0.0
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,high_imbalance_seed3202,eager_only,5.94,1.16,48144,0.0
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,moderate_seed3302,eager_only,4.11,0.01,51158,0.0
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,moderate_seed3302,eager_only,8.62,1.67,51158,0.0
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,moderate_seed3302,eager_only,2.27,0.01,51156,0.0
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,moderate_seed3302,eager_only,6.61,2.38,51156,0.0
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,tight_T_seed3101,eager_only,2.98,0.01,60584,0.0
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,tight_T_seed3101,eager_only,6.7,2.55,60584,0.0
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,eager_only,1.94,0.01,80755,0.0
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,eager_only,4.74,1.77,80755,0.0
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,eager_only,9.59,10.64,80755,0.0
eager_gate__tight_T_seed3102__eager_only__presolve_off__30s,tight_T_seed3102,eager_only,4.06,0.01,48314,0.0
eager_gate__tight_T_seed3102__eager_only__presolve_off__30s,tight_T_seed3102,eager_only,6.77,0.68,48314,0.0
eager_gate__tight_T_seed3102__eager_only__presolve_on__30s,tight_T_seed3102,eager_only,3.08,0.01,48314,0.0
eager_gate__tight_T_seed3102__eager_only__presolve_on__30s,tight_T_seed3102,eager_only,6.5,1.08,48314,0.0
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,1.2,0.01,180040,0.0
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,3.69,2.37,180040,0.0
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,8.08,3.78,180040,0.0
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,11.97,12.49,180040,0.0
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,16.03,23.59,180040,0.0
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,1.42,0.01,169752,0.0
