run_id,instance,arm,pairs_created,children_first_processed,equal_estimate_pairs,discriminated_pairs,mean_child_delay_seconds,max_child_delay_seconds
diagnostic_eager__high_imbalance_seed3202__eager_only__60s,high_imbalance_seed3202,eager_only,45,58,45,0,1.4862883155172413,16.014428799999997
diagnostic_eager__moderate_seed3302__eager_only__60s,moderate_seed3302,eager_only,71,83,71,0,1.0273519409638554,19.2384464
diagnostic_eager__tight_T_seed3101__eager_only__60s,tight_T_seed3101,eager_only,54,80,54,0,1.70000867875,16.2270155
diagnostic_eager__V12_M2__eager_only__60s,V12_M2,eager_only,102,174,102,0,1.5187503080459772,19.5124643
eager_gate__high_imbalance_seed3202__eager_only__presolve_off__30s,high_imbalance_seed3202,eager_only,17,18,17,0,0.433468777777778,1.5379487999999997
eager_gate__high_imbalance_seed3202__eager_only__presolve_on__30s,high_imbalance_seed3202,eager_only,17,18,17,0,0.3253806777777777,0.6638355999999996
eager_gate__moderate_seed3302__eager_only__presolve_off__30s,moderate_seed3302,eager_only,18,19,18,0,0.4446676894736842,1.2666629999999994
eager_gate__moderate_seed3302__eager_only__presolve_on__30s,moderate_seed3302,eager_only,18,19,18,0,0.333986752631579,0.9622524000000001
eager_gate__tight_T_seed3101__eager_only__presolve_off__30s,tight_T_seed3101,eager_only,21,22,21,0,0.44859158181818176,6.5527180000000005
eager_gate__tight_T_seed3101__eager_only__presolve_on__30s,tight_T_seed3101,eager_only,28,33,28,0,0.41861220303030305,5.9512339
eager_gate__tight_T_seed3102__eager_only__presolve_off__30s,tight_T_seed3102,eager_only,17,18,17,0,0.3593307000000001,1.1757866000000012
eager_gate__tight_T_seed3102__eager_only__presolve_on__30s,tight_T_seed3102,eager_only,17,18,17,0,0.301249461111111,0.6314962
eager_gate__V12_M1__eager_only__presolve_off__30s,V12_M1,eager_only,140,250,140,0,0.7896984836000001,12.2715738
eager_gate__V12_M1__eager_only__presolve_on__30s,V12_M1,eager_only,132,234,132,0,0.8735309123931625,9.1146254
eager_gate__V12_M2__eager_only__presolve_off__30s,V12_M2,eager_only,51,93,51,0,1.225272847311828,9.949577
eager_gate__V12_M2__eager_only__presolve_on__30s,V12_M2,eager_only,50,89,50,0,0.8975007337078652,8.1583705
forensic__high_imbalance_seed3202__baseline__300s,high_imbalance_seed3202,baseline,69,108,69,0,11.822613688888891,165.2992761
forensic__moderate_seed3302__baseline__300s,moderate_seed3302,baseline,116,158,116,0,4.309720275316455,55.1477425
forensic__tight_T_seed3101__baseline__300s,tight_T_seed3101,baseline,69,115,69,0,12.592286046086956,163.7254025
forensic__tight_T_seed3102__baseline__300s,tight_T_seed3102,baseline,43,72,43,0,12.455652561111112,101.22710860000001
forensic__V12_M1__baseline__300s,V12_M1,baseline,233,452,233,0,2.4055301555309736,55.09900390000001
forensic__V12_M2__baseline__300s,V12_M2,baseline,146,284,146,0,6.769404322183099,126.01405679999999
gate__high_imbalance_seed3202__baseline__presolve_off__30s,high_imbalance_seed3202,baseline,18,19,18,0,0.2240451631578951,0.7177179000000002
gate__high_imbalance_seed3202__baseline__presolve_on__30s,high_imbalance_seed3202,baseline,16,17,16,0,0.2311835999999999,1.0814993
gate__moderate_seed3302__baseline__presolve_off__30s,moderate_seed3302,baseline,17,18,17,0,0.39809703333333335,1.4821011999999998
gate__moderate_seed3302__baseline__presolve_on__30s,moderate_seed3302,baseline,18,19,18,0,0.15204266315789478,0.4507650999999999
gate__tight_T_seed3101__baseline__presolve_off__30s,tight_T_seed3101,baseline,16,17,16,0,0.21911942352941174,0.8882991999999996
gate__tight_T_seed3101__baseline__presolve_on__30s,tight_T_seed3101,baseline,29,32,29,0,0.27305404999999994,5.6106705
gate__tight_T_seed3102__baseline__presolve_off__30s,tight_T_seed3102,baseline,17,19,17,0,0.24056868947368432,1.0006968
gate__tight_T_seed3102__baseline__presolve_on__30s,tight_T_seed3102,baseline,16,18,16,0,0.25975667222222243,1.3095643
gate__V12_M1__baseline__presolve_off__30s,V12_M1,baseline,133,232,133,0,0.8593766456896551,15.0684798
gate__V12_M1__baseline__presolve_on__30s,V12_M1,baseline,135,239,135,0,0.9110753887029289,10.3852877
gate__V12_M2__baseline__presolve_off__30s,V12_M2,baseline,51,95,51,0,1.0935101242105263,10.6262698
