leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,closure_source,lower_bound_sources
L0,"",0,-1,0,0.23749999999999999,0,2.7841075712429042,empty,1,0,1,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.23749999999999999,0.47499999999999998,0.23749999999999999,2.6553649149201735,replaced,1,1,0,2.6553649149201735,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L2,"",0,-1,0.47499999999999998,0.71249999999999991,0.47499999999999998,2.6622174573541013,replaced,1,1,0,2.6622174573541013,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L3,"",0,-1,0.71249999999999991,0.94999999999999996,0.71249999999999991,2.7841075712429042,empty,1,0,1,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1.0,"L1",1,0,0.23749999999999999,0.35624999999999996,2.6553649149201735,2.7841075712429042,empty,1,0,1,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L1.1,"L1",1,1,0.35624999999999996,0.47499999999999998,2.6937870705895293,2.6937870705895293,open,1,1,0,2.6937870705895293,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0,"L2",1,0,0.47499999999999998,0.59375,2.6637264417274018,2.6637264417274018,replaced,1,1,0,2.6637264417274018,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1,"L2",1,1,0.59375,0.71249999999999991,2.7677643789674717,2.7677643789674717,open,1,1,0,2.7677643789674717,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0,"L2.0",2,0,0.47499999999999998,0.53437500000000004,2.6679636450248068,2.6679636450248068,replaced,1,1,0,2.6679636450248068,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1,"L2.0",2,1,0.53437500000000004,0.59375,2.7083893789674569,2.7083893789674569,open,1,1,0,2.7083893789674569,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0,"L2.0.0",3,0,0.47499999999999998,0.50468749999999996,2.6773129395825315,2.6773129395825315,replaced,1,1,0,2.6773129395825315,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1,"L2.0.0",3,1,0.50468749999999996,0.53437500000000004,2.6837746631666399,2.6837746631666399,replaced,1,1,0,2.6837746631666399,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.0,"L2.0.0.0",4,0,0.47499999999999998,0.48984374999999997,2.6883005097891806,2.6883005097891806,replaced,1,1,0,2.6883005097891806,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1,"L2.0.0.0",4,1,0.48984374999999997,0.50468749999999996,2.6836429421886541,2.6836429421886541,replaced,1,1,0,2.6836429421886541,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.0,"L2.0.0.0.1",5,0,0.48984374999999997,0.49726562499999993,2.6876768891206648,2.6876768891206648,replaced,1,1,0,2.6876768891206648,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.1,"L2.0.0.0.1",5,1,0.49726562499999993,0.50468749999999996,2.6868288710900736,2.6868288710900736,replaced,1,1,0,2.6868288710900736,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.0,"L2.0.0.1",4,0,0.50468749999999996,0.51953125,2.6853000897253367,2.6853000897253367,replaced,1,1,0,2.6853000897253367,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.1,"L2.0.0.1",4,1,0.51953125,0.53437500000000004,2.693689671990692,2.693689671990692,open,1,1,0,2.693689671990692,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.0.0,"L2.0.0.1.0",5,0,0.50468749999999996,0.51210937499999998,2.6874030418692336,2.6874030418692336,replaced,1,1,0,2.6874030418692336,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.0.1,"L2.0.0.1.0",5,1,0.51210937499999998,0.51953125,2.6889597468171522,2.6889597468171522,replaced,1,1,0,2.6889597468171522,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.1.0,"L2.0.0.0.1.1",6,0,0.49726562499999993,0.5009765625,2.688752963674744,2.688752963674744,replaced,1,1,0,2.688752963674744,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.1.1,"L2.0.0.0.1.1",6,1,0.5009765625,0.50468749999999996,2.6884194711851999,2.6884194711851999,replaced,1,1,0,2.6884194711851999,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.0.0.0,"L2.0.0.1.0.0",6,0,0.50468749999999996,0.50839843749999991,2.6886187123183638,2.6886187123183638,replaced,1,1,0,2.6886187123183638,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.1.0.0.1,"L2.0.0.1.0.0",6,1,0.50839843749999991,0.51210937499999998,2.6890540785762385,2.6890540785762385,replaced,1,1,0,2.6890540785762385,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.0.0,"L2.0.0.0.1.0",6,0,0.48984374999999997,0.49355468749999998,2.6906766485546316,2.6906766485546316,open,1,1,0,2.6906766485546316,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.1.0.1,"L2.0.0.0.1.0",6,1,0.49355468749999998,0.49726562499999993,2.6892591492488722,2.6892591492488722,replaced,1,1,0,2.6892591492488722,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0.0.0.0,"L2.0.0.0.0",5,0,0.47499999999999998,0.482421875,2.7026932869728357,2.7026932869728357,open,1,1,0,2.7026932869728357,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
