leaf_id,attempt,candidate_available,mapping_complete,submitted,status,mapping_seconds
L0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,7e-06
L1,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,5.6e-06
L2,0,1,1,1,rejected_by_native_log,0.0002683
L3,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,5.2e-06
L2,1,0,0,0,not_requested,0
L2.0,0,1,0,0,mapping_rejected:verified_start_outside_static_gini_interval,5.6e-06
L2.1,0,1,1,1,rejected_by_native_log,0.000262
L2.1,1,0,0,0,not_requested,0
