run_id,instance,decision_sequence,interval_id,parent_rows,parent_columns,parent_nonzeros,left_rows,left_columns,left_nonzeros,right_rows,right_columns,right_nonzeros,additional_models_built,additional_lp_queries,additional_mip_queries
"stage3_300s__tight_T_seed3102__K1-AMF","tight_T_seed3102.txt",2,"L0.0",11903,3374,67107,11903,3374,67107,11903,3374,67347,0,0,0
"stage3_300s__tight_T_seed3102__K1-AMF","tight_T_seed3102.txt",3,"L0.0",11903,3374,67107,11903,3374,67107,11903,3374,67347,0,0,0
