run_id,instance,decision_sequence,interval_id,profile_version,profile_valid,failure_reason,eligible_variable_count,excluded_gini_variable_count,invalid_variable_count,phi_L,phi_R,left_min,left_mean,left_max,right_min,right_mean,right_max,fixed_left_count,fixed_right_count,parent_model_sha256,left_model_sha256,right_model_sha256
"stage3_300s__tight_T_seed3102__K1-AMF","tight_T_seed3102.txt",2,"L0.0","round48-canonical-interval-sensitive-v1",1,"none",585,1,0,0.094017094017094016,0.0016035309931381749,0,0.094017094017094016,0.5,0,0.0016035309931381749,0.5,0,0,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,e7343e97941e2142c6befe4d54f93c29f846d77b26e2327d52262f1a642aba23,70e3216fa6c984e2d16b46247ce435c07e590c6b3cd197c70ea7a84a85cd7cd4
"stage3_300s__tight_T_seed3102__K1-AMF","tight_T_seed3102.txt",3,"L0.0","round48-canonical-interval-sensitive-v1",1,"none",585,1,0,0.094017094017094016,0.0016035309931381749,0,0.094017094017094016,0.5,0,0.0016035309931381749,0.5,0,0,de6043550459538877b79bf9de73bb88a9ff035e95933eb6343da4175045a28b,e7343e97941e2142c6befe4d54f93c29f846d77b26e2327d52262f1a642aba23,70e3216fa6c984e2d16b46247ce435c07e590c6b3cd197c70ea7a84a85cd7cd4
