station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,3,11,9
2,5,13,11
3,16,11,9
4,19,12,10
5,2,8,7
6,3,11,9
7,14,9,8
8,2,11,9
9,26,17,15
10,24,16,14
11,3,10,9
12,4,11,9
13,5,15,13
14,15,10,9
15,18,12,10
16,20,13,11
17,16,10,9
18,24,15,13
19,19,13,11
20,9,27,27
21,3,10,9
22,5,12,10
23,9,22,22
24,18,12,10
25,7,19,17
26,7,20,18
27,19,12,10
28,14,10,9
29,15,9,8
30,9,20,18
