phase_index,leaf_id,target_kind,current_bound,target_bound,other_open_min_bound,verified_cutoff,status,native_status,native_bound,target_reached,exact_closure,requeued,solver_runtime,work,nodes,event_source
1,L0,next_leaf,0.0866012,0.118733,0.118733,0.474934,exact_closure,"INFEASIBLE",1e+100,0,1,0,1.562,2.63634,1,"c6_next_strict_frontier_bound_reached_requeue"
1,L1,next_leaf,0.173256,0.237467,0.237467,0.297772,target_reached_requeue,"INTERRUPTED",0.237755,1,0,1,83.103,143.619,697,"c6_next_strict_frontier_bound_reached_requeue"
