instance,arm,return_code,runner_wall_seconds,emergency_timeout,status,hga_generation_completion_recorded,verification_complete_recorded,verified_ub_serialized,exact_phase_started,first_external_event_recorded,valid_lb,conservative_lower_bound_source,strict_certificate,graceful_deadline_finalization,serialization_complete_recorded,process_exit_recorded,last_completed_phase,passed,result_path,phase_path
moderate_seed6301,C3-REPLICA,0,295.10900000017136,False,paper_hga_global_deadline,True,True,True,False,False,0,objective_nonnegative_G_plus_lambda_P,False,True,True,True,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/transition__moderate6301_transition__moderate_seed6301__c3_replica__300s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/transition__moderate6301_transition__moderate_seed6301__c3_replica__300s/process_phases.csv
moderate_seed6301,C4-CANDIDATE,0,295.10900000017136,False,round29_c4_external_gini_tree_time_limit,True,True,True,True,True,0.4820366689538659,objective_nonnegative_G_plus_lambda_P,False,True,True,True,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/transition__moderate6301_transition__moderate_seed6301__c4_candidate__300s/process_phases.csv
