stage,instance,repetition,basis_available_count,basis_mapped_count,basis_submitted_count,basis_accepted_count,basis_rejected_count,classification,no_basis_reuse_claim
stage1,high_imbalance_seed3202,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage1,moderate_seed3302,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage1,moderate_seed6301,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage1,tight_T_seed3101,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage1,V12_M1,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage1,V12_M2,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,high_imbalance_seed4201,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,high_imbalance_seed5202,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,high_imbalance_seed5203,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,high_imbalance_seed6202,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,moderate_seed4302,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,moderate_seed5301,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,moderate_seed5302,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,tight_T_seed4101,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,tight_T_seed5102,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,tight_T_seed5103,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage2,tight_T_seed6102,0,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,high_imbalance_seed5202,1,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,high_imbalance_seed5202,2,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,moderate_seed3302,1,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,moderate_seed3302,2,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,moderate_seed6301,1,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,moderate_seed6301,2,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,tight_T_seed3101,1,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,tight_T_seed3101,2,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,V12_M2,1,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
stage4,V12_M2,2,0,0,0,0,0,not_submitted_domain_transition_model_object_only,True
