label,arm,budget_seconds,runner_wall_seconds,return_code,emergency_timeout,result_json_present,phase_ledger_present,process_entry_recorded,serialization_start_recorded,serialization_complete_recorded,process_exit_recorded,exact_phase_started,graceful_deadline_finalization,strict_certificate,valid_lb,conservative_lower_bound_source,last_phase,passed,result_path,phase_path
first_external_events,C4-CANDIDATE,28,23.030999999959022,0,False,True,True,True,True,True,True,True,True,False,0.003944040454757683,objective_nonnegative_G_plus_lambda_P,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__first_external_events__moderate_seed4301__c4_candidate__28s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__first_external_events__moderate_seed4301__c4_candidate__28s/process_phases.csv
hga_boundary,C4-CANDIDATE,25,20.063000000081956,0,False,True,True,True,True,True,True,True,True,False,0.003209400142503194,objective_nonnegative_G_plus_lambda_P,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__hga_boundary__moderate_seed4301__c4_candidate__25s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__hga_boundary__moderate_seed4301__c4_candidate__25s/process_phases.csv
local_redecode_transition,C3-REPLICA,30,25.030999999959022,0,False,True,True,True,True,True,True,False,True,False,0,objective_nonnegative_G_plus_lambda_P,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__local_redecode_transition__moderate_seed4301__c3_replica__30s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__local_redecode_transition__moderate_seed4301__c3_replica__30s/process_phases.csv
lp_or_terminal_mip,C4-CANDIDATE,45,40.04700000025332,0,False,True,True,True,True,True,True,True,True,False,0.004865733712173765,objective_nonnegative_G_plus_lambda_P,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__lp_or_terminal_mip__moderate_seed4301__c4_candidate__45s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__lp_or_terminal_mip__moderate_seed4301__c4_candidate__45s/process_phases.csv
pre_exact_hga,C4-CANDIDATE,8,3.155999999959022,0,False,True,True,True,True,True,True,False,True,False,0,objective_nonnegative_G_plus_lambda_P,process_exit,True,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__pre_exact_hga__moderate_seed4301__c4_candidate__8s/result.json,results/gf_gurobi_performance_recovery_round29/stage0_runs/deadline__pre_exact_hga__moderate_seed4301__c4_candidate__8s/process_phases.csv
