instance,arm,budget_seconds,return_code,emergency_timeout,status,exact_phase_started,verified_ub,valid_lb,gap,optimize_count,lp_count,terminal_mip_count,split_count,declined_split_count,model_read_count,same_leaf_model_reuse_count,integer_domain_restore_count,lp_pruned_leaf_count,open_leaf_count,work,lp_work,terminal_mip_work,peak_memory_gb,lifecycle_complete,strict_certificate,result_path
high_imbalance_seed3202,C3-REPLICA,60,0,False,cplex_replica_external_gini_tree_time_limit,True,1.7493134520506337,1.6068359367343792,0.0814476760292646,39,36,3,31,0,39,0,0,0,28,38.50351897428078,23.6086109662291,14.894908008051683,0.054396305,True,False,results/gf_gurobi_performance_recovery_round29/development/high_imbalance_seed3202__c3_replica__60s/result.json
high_imbalance_seed3202,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,1.7493134520506337,1.6075620196009406,0.08103260869772934,54,46,8,21,0,46,8,46,0,15,70.59190969349821,30.202911562872046,40.38899813062617,0.098625123,True,False,results/gf_gurobi_performance_recovery_round29/development/high_imbalance_seed3202__c4_candidate__60s/result.json
moderate_seed3302,C3-REPLICA,60,0,False,cplex_replica_external_gini_tree_time_limit,True,0.19563620654901237,0.13726909569495274,0.29834513704617877,27,27,0,26,0,27,0,0,0,27,23.363035871290954,23.363035871290954,0,0.02973387,True,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed3302__c3_replica__60s/result.json
moderate_seed3302,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.19563620654901237,0.13928850326024372,0.2880228781917828,88,88,0,42,0,88,0,88,0,46,64.81486547638649,64.81486547638649,0,0.113872247,True,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed3302__c4_candidate__60s/result.json
moderate_seed4301,C2-COLD,60,0,False,paper_external_gini_tree_time_limit,True,0.019278051143257303,0.004865733712173765,0.7476024066947449,78,54,24,25,0,78,0,0,0,5,61.05720932090308,22.17140942011402,38.88579990078905,0.085399916,True,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed4301__c2_cold__60s/result.json
moderate_seed4301,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.019278051143257303,0.004865733712173765,0.7476024066947449,78,54,24,25,1,54,24,54,0,5,61.985811301179936,22.17140942011402,39.81440188106591,0.0891589,True,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed4301__c4_candidate__60s/result.json
moderate_seed6301,C3-REPLICA,60,0,False,paper_hga_global_deadline,False,0.6075292832179728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed6301__c3_replica__60s/result.json
moderate_seed6301,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.6075292832179728,0,1,1,1,0,0,0,1,0,1,0,4,9.175615349806321,9.175615349806321,0,0.136080505,True,False,results/gf_gurobi_performance_recovery_round29/development/moderate_seed6301__c4_candidate__60s/result.json
tight_T_seed3101,C3-REPLICA,60,0,False,cplex_replica_external_gini_tree_time_limit,True,0.10725273413394144,0.006987213515794308,0.9348528168329173,58,44,14,27,0,58,0,0,0,12,43.22975528429034,33.75636106868041,9.473394215609932,0.0293825,True,False,results/gf_gurobi_performance_recovery_round29/development/tight_T_seed3101__c3_replica__60s/result.json
tight_T_seed3101,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.10725273413394144,0.05192808628246948,0.5158343822021392,39,30,9,9,5,30,9,30,0,3,77.90230705204628,23.46352216663424,54.43878488541205,0.096545151,True,False,results/gf_gurobi_performance_recovery_round29/development/tight_T_seed3101__c4_candidate__60s/result.json
V12_M1,C3-REPLICA,60,0,False,cplex_replica_external_gini_tree_time_limit,True,0.3572005832084155,0.3060987560138294,0.14306199260814134,155,111,44,62,0,155,0,0,0,14,53.38755637211075,20.942761516002005,32.44479485610876,0.03637605,True,False,results/gf_gurobi_performance_recovery_round29/development/V12_M1__c3_replica__60s/result.json
V12_M1,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.3572005832084155,0.3067336911323249,0.14128446158399677,168,120,48,58,0,120,48,120,0,9,62.36258442399973,22.601912580005738,39.760671843994004,0.053841424,True,False,results/gf_gurobi_performance_recovery_round29/development/V12_M1__c4_candidate__60s/result.json
V12_M2,C3-REPLICA,60,0,False,cplex_replica_external_gini_tree_time_limit,True,0.7185040707549709,0.6478924415981415,0.09827589297111977,91,70,21,42,0,91,0,0,0,16,57.7094146174011,19.77522501028029,37.9341896071208,0.06949009,True,False,results/gf_gurobi_performance_recovery_round29/development/V12_M2__c3_replica__60s/result.json
V12_M2,C4-CANDIDATE,60,0,False,round29_c4_external_gini_tree_time_limit,True,0.7185040707549709,0.6485095805960838,0.09741697090921164,100,76,24,36,0,76,24,76,0,10,68.53768934151584,21.38133609610808,47.15635324540774,0.115857947,True,False,results/gf_gurobi_performance_recovery_round29/development/V12_M2__c4_candidate__60s/result.json
