comparison,leaf_id,cold_native_status,incremental_native_status,cold_bound,incremental_bound,absolute_bound_difference,terminal_status_identity,objective_identity_within_1e_7,passed
cold_lp_vs_incremental_lp,L0,OPTIMAL,OPTIMAL,0.003209400142503194,0.003209400142503194,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0,OPTIMAL,OPTIMAL,0.003263655906130154,0.003263655906130154,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0,OPTIMAL,OPTIMAL,0.0034723458032201015,0.0034723458032201015,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.0,INFEASIBLE,INFEASIBLE,0.0,0.0,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1,OPTIMAL,OPTIMAL,0.0037861525570175537,0.0037861525570175537,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0,OPTIMAL,OPTIMAL,0.0039020331063731937,0.0039020331063731937,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.0,OPTIMAL,OPTIMAL,0.00396061204721882,0.00396061204721882,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.0.0,OPTIMAL,OPTIMAL,0.003989617828640655,0.003989617828640655,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.0.1,OPTIMAL,OPTIMAL,0.004000126489476163,0.004000126489476163,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.1,OPTIMAL,OPTIMAL,0.0039810229155280135,0.0039810229155280135,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.1.0,OPTIMAL,OPTIMAL,0.004010145182010717,0.004010145182010717,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.0.1.1,OPTIMAL,OPTIMAL,0.004020504764292338,0.004020504764292338,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1,OPTIMAL,OPTIMAL,0.003944040454757683,0.003944040454757683,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.0,OPTIMAL,OPTIMAL,0.004002312699557587,0.004002312699557587,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.0.0,OPTIMAL,OPTIMAL,0.004031739783282502,0.004031739783282502,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.0.1,OPTIMAL,OPTIMAL,0.004042211704698616,0.004042211704698616,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.1,OPTIMAL,OPTIMAL,0.004022891004686825,0.004022891004686825,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.1.0,OPTIMAL,OPTIMAL,0.004052674571489035,0.004052674571489035,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.0.1.1.1.1,OPTIMAL,OPTIMAL,0.0040631283817569265,0.0040631283817569265,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1,OPTIMAL,OPTIMAL,0.004068530635383866,0.004068530635383866,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0,OPTIMAL,OPTIMAL,0.004075918814430351,0.004075918814430351,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0,OPTIMAL,OPTIMAL,0.0040796336096574235,0.0040796336096574235,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0.0,OPTIMAL,OPTIMAL,0.0040817345575713,0.0040817345575713,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0.0.0,OPTIMAL,OPTIMAL,0.004083990729504056,0.004083990729504056,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0.0.1,OPTIMAL,OPTIMAL,0.004134603505519557,0.004134603505519557,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0.1,OPTIMAL,OPTIMAL,0.004185887204063157,0.004185887204063157,0.0,True,True,True
cold_lp_vs_incremental_lp,L0.0.1.0.0.1.0,OPTIMAL,OPTIMAL,0.0041867900841691804,0.0041867900841691804,0.0,True,True,True
